id,list_name,party,session,type,date,value,donated_to_charity,description,sub_entry
28,"Baker, Norman",Liberal Democrat,2014-15,employment,2014-03-19,263.74,False,"Ongoing income from royalties for publication of book entitled ‘The Strange Death of David Kelly’. Payments from Methuen Publishing Ltd, now of 35 Hospital Fields Rd, York YO5 4DZ:","Received £263.74 on 19 March 2014.
 
Hours: no additional hours
. (Registered 19 March 2014)"
28,"Baker, Norman",Liberal Democrat,2014-15,employment,2015-01-06,600.0,False,"Received £600 from ITV, Talent Payments Department, Trafford Wharf Road, Trafford M17 1FZ, for an appearance on the BBC’s ‘University Challenge’. Hours: 1 hr excluding travel. 
(Registered 6 January 2015)",
28,"Baker, Norman",Liberal Democrat,2013-14,employment,2013-08-23,230.02,False,"Ongoing income from royalties for publication of book entitled ‘The Strange Death of David Kelly’. Payments from Methuen Publishing Ltd, now of 35 Hospital Fields Rd, York YO5 4DZ:","Received £230.02 on 31 March 2012. Hours: no additional hours
. (Registered 23 August 2013)"
28,"Baker, Norman",Liberal Democrat,2013-14,employment,2013-08-23,214.79,False,"Ongoing income from royalties for publication of book entitled ‘The Strange Death of David Kelly’. Payments from Methuen Publishing Ltd, now of 35 Hospital Fields Rd, York YO5 4DZ:","Received £214.79 on 31 March 2013. Hours: no additional hours
. (Registered 23 August 2013)"
28,"Baker, Norman",Liberal Democrat,2013-14,employment,2013-11-25,833.16,False,"Ongoing income from royalties for publication of book entitled ‘The Strange Death of David Kelly’. Payments from Methuen Publishing Ltd, now of 35 Hospital Fields Rd, York YO5 4DZ:","Received £833.16 on 15 November 2013.
 
Hours: no additional hours
. (Registered 25 November 2013)"
28,"Baker, Norman",Liberal Democrat,2010-11,employment,2010-05-21,1298.33,False,Fees from the Centre for Management and Policy Studies for lectures given to civil servants.,"Royalty payment  of £1,298.33 for the period 1 January 2009-31 December 2009 from Methuen Publishing Ltd, 8 Artillery Row, London SW1P 1RZ. (Registered 21 May 2010)"
28,"Baker, Norman",Liberal Democrat,2010-11,employment,2009-10-22,1000.0,False,Fees from the Centre for Management and Policy Studies for lectures given to civil servants.,"12 October 2009, received payment of £1000 for an article published in the Daily Mail. Hours: 2 hrs. (Registered 22 October 2009)"
28,"Baker, Norman",Liberal Democrat,2010-11,employment,2010-03-12,1000.0,False,Fees from the Centre for Management and Policy Studies for lectures given to civil servants.,"10 March 2010, received payment of £1000 for an article published in The Mail on Sunday on 22 January 2010.  Hours: 2 hrs. (Registered 12 March 2010)"
28,"Baker, Norman",Liberal Democrat,2010-11,employment,2010-03-30,1000.0,False,Fees from the Centre for Management and Policy Studies for lectures given to civil servants.,"19 March 2010, received payment of £1000 for an article published in the Mail on Sunday.  Hours: 1hr 30mins. (Registered 30 March 2010)"
28,"Baker, Norman",Liberal Democrat,2010-11,employment,2010-03-05,150.0,False,Fees from the Centre for Management and Policy Studies for lectures given to civil servants.,Received £150 on 2 March 2010. Hours: 1 hr. (Registered 5 March 2010)
28,"Baker, Norman",Liberal Democrat,2010-11,employment,2010-03-05,12.0,False,Fees from the Centre for Management and Policy Studies for lectures given to civil servants.,Received £150 plus £12 travel expenses on 2 March 2010. Hours: 1 hr. (Registered 5 March 2010)
