id,list_name,party,session,type,date,value,donated_to_charity,description,sub_entry
1589,"Banks, Gordon",Labour,2014-15,directorship,2014-01-07,1559.46,False,"Cartmore Building Supply Co Ltd, Cartmore Industrial Estate, Lochgelly, Fife. Builders’ merchant.  Work includes: attending meetings; reviewing management accounts; reviewing company procedures; performance and processes; management of staff; and, management of stock control and IT development.","27 December 2013, received salary payment of £2,666.67 gross (£1,559.46 net) for period 1-31 December 2013.  Hours: 16 hrs. (Registered 7 January 2014)"
1589,"Banks, Gordon",Labour,2014-15,directorship,2014-02-03,1559.86,False,"Cartmore Building Supply Co Ltd, Cartmore Industrial Estate, Lochgelly, Fife. Builders’ merchant.  Work includes: attending meetings; reviewing management accounts; reviewing company procedures; performance and processes; management of staff; and, management of stock control and IT development.","27 January 2014, received salary payment of £2,666.67 gross (£1,559.86 net) for period 1-31 January 2014.  Hours: 18 hrs. (Registered 3 February 2014)"
1589,"Banks, Gordon",Labour,2014-15,directorship,2014-03-05,1559.46,False,"Cartmore Building Supply Co Ltd, Cartmore Industrial Estate, Lochgelly, Fife. Builders’ merchant.  Work includes: attending meetings; reviewing management accounts; reviewing company procedures; performance and processes; management of staff; and, management of stock control and IT development.","27 February 2014, received salary payment of £2,666.67 gross (£1,559.46 net) for period 1-28 February 2014.  Hours: 15 hrs. (Registered 5 March 2014)"
1589,"Banks, Gordon",Labour,2014-15,directorship,2014-03-31,1559.46,False,"Cartmore Building Supply Co Ltd, Cartmore Industrial Estate, Lochgelly, Fife. Builders’ merchant.  Work includes: attending meetings; reviewing management accounts; reviewing company procedures; performance and processes; management of staff; and, management of stock control and IT development.","27 March 2014, received salary payment of £2,666.67 gross (£1,559.46 net) for period 1-31 March 2014.  Hours: 18 hrs. (Registered 31 March 2014)"
1589,"Banks, Gordon",Labour,2014-15,directorship,2014-04-29,1560.2,False,"Cartmore Building Supply Co Ltd, Cartmore Industrial Estate, Lochgelly, Fife. Builders’ merchant.  Work includes: attending meetings; reviewing management accounts; reviewing company procedures; performance and processes; management of staff; and, management of stock control and IT development.","27 April 2014, received salary payment of £2,666.67 gross (£1,560.20 net) for period 1-30 April 2014.  Hours: 16 hrs. (Registered 29 April 2014)"
1589,"Banks, Gordon",Labour,2014-15,directorship,2014-06-12,1559.8,False,"Cartmore Building Supply Co Ltd, Cartmore Industrial Estate, Lochgelly, Fife. Builders’ merchant.  Work includes: attending meetings; reviewing management accounts; reviewing company procedures; performance and processes; management of staff; and, management of stock control and IT development.","27 May 2014, received salary payment of £2,666.67 gross, (£1,559.80 net) for period 1-31 May 2014. Hours:  18 hrs.  (Registered 12 June 2014)"
1589,"Banks, Gordon",Labour,2014-15,directorship,2014-07-16,1559.8,False,"Cartmore Building Supply Co Ltd, Cartmore Industrial Estate, Lochgelly, Fife. Builders’ merchant.  Work includes: attending meetings; reviewing management accounts; reviewing company procedures; performance and processes; management of staff; and, management of stock control and IT development.","27 June 2014, received salary payment of £2,666.67 gross, (£1,559.80 net) for period 1-30 June 2014.  Hours: 19 hrs. (Registered 16 July 2014)"
1589,"Banks, Gordon",Labour,2014-15,directorship,2014-08-21,1560.2,False,"Cartmore Building Supply Co Ltd, Cartmore Industrial Estate, Lochgelly, Fife. Builders’ merchant.  Work includes: attending meetings; reviewing management accounts; reviewing company procedures; performance and processes; management of staff; and, management of stock control and IT development.","27 July 2014, received salary payment of £2,666.67 gross, (£1,560.20 net) for period 1-31 July 2014.  Hours: 17 hrs. (Registered 21 August 2014)"
1589,"Banks, Gordon",Labour,2014-15,directorship,2014-09-16,1559.8,False,"Cartmore Building Supply Co Ltd, Cartmore Industrial Estate, Lochgelly, Fife. Builders’ merchant.  Work includes: attending meetings; reviewing management accounts; reviewing company procedures; performance and processes; management of staff; and, management of stock control and IT development.","27 August 2014, received salary payment of £2,666.67 gross, (£1,559.80 net) for period 1-31 August 2014.  Hours: 18 hrs. (Registered 16 September 2014)"
1589,"Banks, Gordon",Labour,2014-15,directorship,2014-10-13,1559.8,False,"Cartmore Building Supply Co Ltd, Cartmore Industrial Estate, Lochgelly, Fife. Builders’ merchant.  Work includes: attending meetings; reviewing management accounts; reviewing company procedures; performance and processes; management of staff; and, management of stock control and IT development.","27 September 2014, received salary payment of £2,666.67 gross, (£1,559.80 net) for period 1-30 September 2014.  Hours: 18 hrs. (Registered 13 October 2014)"
