id,list_name,party,session,type,date,value,donated_to_charity,description,sub_entry
456,"Blears, Hazel",Labour,2014-15,employment,2014-01-25,75.0,False,"Payments from ComRes, 4 Millbank, London SW1P 3JA:","15 January 2014, £75 for opinion survey. Hours: 15 mins. (Registered 25 January 2014)"
456,"Blears, Hazel",Labour,2014-15,employment,2014-07-02,75.0,False,"Payments from ComRes, 4 Millbank, London SW1P 3JA:","6 June 2014, £75 for opinion survey. Hours: 15 mins. (Registered 2 July 2014)"
456,"Blears, Hazel",Labour,2014-15,employment,2014-10-15,75.0,False,"Payments from ComRes, 4 Millbank, London SW1P 3JA:","1 October 2014, £75 for opinion survey. Hours: 15 mins. (Registered 15 October 2014)"
456,"Blears, Hazel",Labour,2014-15,employment,2014-12-04,75.0,False,"Payments from ComRes, 4 Millbank, London SW1P 3JA:","18 November 2014, £75 for opinion survey. Hours: 15 mins. (Registered 4 December 2014)"
456,"Blears, Hazel",Labour,2014-15,oversees_visit,2014-05-27,5427.0,False,Donor: Parliament of Bahrain (National Assembly & Shura Council),
456,"Blears, Hazel",Labour,2014-15,oversees_visit,2014-06-09,665.49,False,Donor: University of Salford,
456,"Blears, Hazel",Labour,2013-14,employment,2013-05-01,1000.0,False,"Adviser to Juice Advisory, providing strategic advice on crime and policing matters, for one day per quarter from 1 January 2013.  Address: 7 St Paul’s Yard, Silver Street, Newport Pagnell, Bucks MK16 0EG. (Up to £5,000) Employment terminated on 1 July 2013.","Payment of £1,000.  Hours: 1 day. (Registered 1 May 2013; updated 2 July 2013)"
456,"Blears, Hazel",Labour,2013-14,oversees_visit,2013-10-30,2638.78,False,Donor: Ergotep,
456,"Blears, Hazel",Labour,2012-13,employment,2012-02-21,75.0,True,"Payments from ComRes, Four Millbank, for participation in opinion surveys:",Payment of £75 for November-December 2011 Parliamentary Panel Survey. Payment donated to my constituency party. Hours: 45 mins.  (Registered 21 February 2012)
456,"Blears, Hazel",Labour,2012-13,employment,2012-02-21,75.0,True,"Payments from ComRes, Four Millbank, for participation in opinion surveys:",Payment of £75 for January-February 2012 Parliamentary Panel Survey. Payment donated to my constituency party. Hours: 45 mins. (Registered 21 February 2012)
456,"Blears, Hazel",Labour,2012-13,employment,2012-05-21,75.0,True,"Payments from ComRes, Four Millbank, for participation in opinion surveys:",Payment of £75 for February-March 2012 Parliamentary Panel Survey. Payment donated to my constituency party. Hours: 45 mins. (Registered 21 May 2012)
456,"Blears, Hazel",Labour,2012-13,employment,2012-06-22,75.0,True,"Payments from ComRes, Four Millbank, for participation in opinion surveys:",Payment of £75 for April-May 2012 Parliamentary Panel Survey.  Payment donated to my constituency party. Hours: 45 mins. (Registered 22 June 2012)
456,"Blears, Hazel",Labour,2012-13,employment,2012-07-24,75.0,True,"Payments from ComRes, Four Millbank, for participation in opinion surveys:",Payment of £75 for survey.  Payment donated to my constituency party.  Hours: 45 mins. (Registered 24 July 2012)
456,"Blears, Hazel",Labour,2012-13,employment,2012-09-06,75.0,True,"Payments from ComRes, Four Millbank, for participation in opinion surveys:",Payment of £75 for survey.  Payment donated to my constituency party.  Hours: 45 mins. (Registered 6 September 2012)
456,"Blears, Hazel",Labour,2012-13,employment,2012-12-18,75.0,True,"Payments from ComRes, Four Millbank, for participation in opinion surveys:",Payment of £75 for survey.  Payment donated to my constituency party.  Hours: 45 mins. (Registered 18 December 2012)
456,"Blears, Hazel",Labour,2012-13,employment,2012-07-23,500.0,False,"Payment of £500 for speech on Significant Developments in Alzheimer’s Disease, on 18 June 2012 in Manchester.  Address of payer:  Packer Forbes Communications, 1.09 Harbour Yard, Chelsea Harbour, London SW10 0XD.  Hours: 6 hrs for preparation and presentation. (Registered 23 July 2012; amended 1 August 2012)",
456,"Blears, Hazel",Labour,2012-13,employment,2012-10-15,150.0,True,"Payment from Ipsos MORI, 79-81 Borough Road, London SE11FY, for opinion survey:","Payment of £150, donated to my constituency party.  Hours: 1 hr. (Registered 15 October 2012)"
456,"Blears, Hazel",Labour,2012-13,employment,2012-11-27,150.0,True,"Payment from Ipsos MORI, 79-81 Borough Road, London SE11FY, for opinion survey:","January 2012, payment of £150, donated to my constituency party.  Hours: 1 hr. (Registered 27 November 2012)"
456,"Blears, Hazel",Labour,2012-13,oversees_visit,2012-12-04,1103.39,False,Donor: Centre for Democratic Control of Armed Forces (DCAF),
456,"Blears, Hazel",Labour,2011-12,employment,2011-07-15,75.0,True,"Payment of £500 from BBC, PO Box 480, Manchester M14 0EL, for appearance on ‘This Week’ on 18 November 2010.  Hours: 40 mins. (Registered 22 December 2010)",Payment of £75 for June 2011 Parliamentary Panel Survey.   Payment donated to my constituency party. (Registered 15 July 2011)
456,"Blears, Hazel",Labour,2011-12,employment,2011-08-30,75.0,True,"Payment of £500 from BBC, PO Box 480, Manchester M14 0EL, for appearance on ‘This Week’ on 18 November 2010.  Hours: 40 mins. (Registered 22 December 2010)",Payment of £75 for July 2011 Parliamentary Panel Survey.  Payment donated to my constituency party. (Registered 30 August 2011)
456,"Blears, Hazel",Labour,2011-12,employment,2011-12-13,75.0,True,"Payment of £500 from BBC, PO Box 480, Manchester M14 0EL, for appearance on ‘This Week’ on 18 November 2010.  Hours: 40 mins. (Registered 22 December 2010)",Payment of £75 for November 2011 Parliamentary Panel Survey.  Payment donated to my constituency party. (Registered 13 December 2011)
456,"Blears, Hazel",Labour,2010-11,employment,2010-08-09,400.0,False,"Payment of £400 from BBC, PO Box 480, Manchester M14 0EL for taking part in studio discussion for This Week.  Hours 40 minutes (Registered 9 August 2010",
