id,list_name,party,session,type,date,value,donated_to_charity,description,sub_entry
4098,"Coffey, Thérèse",Conservative,2014-15,employment,2014-01-28,200.0,False,"8 January 2014, received payment of £200 from Ipsos MORI, 79-81 Borough Road, London SE1 1FY, for taking part in an MP interview.  Hours: 90 mins. 
(Registered 28 January 2014)",
4098,"Coffey, Thérèse",Conservative,2014-15,gift,2014-07-24,895.0,False,Donor: Digital UK Limited,
4098,"Coffey, Thérèse",Conservative,2013-14,employment,2013-09-11,75.0,False,"Payments received from ComRes, Four Millbank, London SW1P 3JA for opinion surveys:","30 August 2013, received payment of £75 for completing the June Survey.  Hours: 1 hr. (Registered 11 September 2013)"
4098,"Coffey, Thérèse",Conservative,2013-14,sponsorship,2013-07-25,6813.95,False,Donor: Microsoft UK,
4098,"Coffey, Thérèse",Conservative,2013-14,gift,2013-10-09,1000.0,False,Donor: Huawei Technologies,
4098,"Coffey, Thérèse",Conservative,2012-13,employment,2012-04-18,75.0,False,"Payments received from ComRes, Four Millbank, London SW1P 3JA for opinion surveys:","11 April 2012, received payment of £75 for completing survey. Hours: 1 hr. (Registered 18 April 2012)"
4098,"Coffey, Thérèse",Conservative,2012-13,employment,2012-06-19,75.0,False,"Payments received from ComRes, Four Millbank, London SW1P 3JA for opinion surveys:","18 June 2012, received payment of £75 for completing the April-May Survey. Hours: 1 hr. (Registered 19 June 2012)"
4098,"Coffey, Thérèse",Conservative,2012-13,employment,2012-12-04,75.0,False,"Payments received from ComRes, Four Millbank, London SW1P 3JA for opinion surveys:","3 December 2012, received payment of £75 for completing the October-November Survey. Hours: 1 hr. (Registered 4 December 2012)"
4098,"Coffey, Thérèse",Conservative,2012-13,employment,2012-07-30,70.0,False,"Payments from YouGov, 50 Featherstone St, London EC1Y 8RT, for opinion surveys:","30 July 2012, received £70 for completing online survey.  Hours: 30 mins. (Registered 30 July 2012)"
4098,"Coffey, Thérèse",Conservative,2012-13,employment,2012-10-25,150.0,False,"Received from the Department of Culture, Media and Sport, one Olympic ticket with a value of £30 and hospitality with a value of £350 in the course of my role as Olympic ambassador. Hours: 5 hrs approx. 
(Registered 10 August 2012)",
4098,"Coffey, Thérèse",Conservative,2012-13,gift,2012-09-05,695.0,False,Donor: Channel 4,
4098,"Coffey, Thérèse",Conservative,2011-12,employment,2010-11-29,75.0,False,"Monthly MP Survey for Com Res; Communicate Research Ltd, Coveham House, Downside Bridge Road, Cobham, Surrey KT11 3EP:","£75 for 1 hour, sent directly to charity. (Registered 29 November 2010)"
4098,"Coffey, Thérèse",Conservative,2011-12,employment,2011-07-25,75.0,False,"Monthly MP Survey for Com Res; Communicate Research Ltd, Coveham House, Downside Bridge Road, Cobham, Surrey KT11 3EP:",£75 received.  Hours: 1 hr. (Registered 25 July 2011)
4098,"Coffey, Thérèse",Conservative,2011-12,employment,2010-12-08,50.0,True,"Payment of £50 from Populus, Northburgh House, 10 Northburgh Street, London, EC1V 0AT, for opinion research.  Hours: 30 mins. Payment donated to charity. (Registered 8 December 2010)",
4098,"Coffey, Thérèse",Conservative,2011-12,employment,2011-04-18,100.0,True,"Payment of £80 in February 2011 from YouGov, 50 Featherstone Street, London EC1Y 8RT, for opinion survey.  Hours: 1 hr. (Registered 17 March 2011)",
4098,"Coffey, Thérèse",Conservative,2011-12,gift,2011-05-25,1132.8,False,Donor: Gallaher Ltd,
4098,"Coffey, Thérèse",Conservative,2010-11,employment,2010-06-30,150.0,False,"MP Survey for Ipsos Mori UK Ltd; Kings House, Kymberley Road, Harrow, HA1 1PT. £150 for 90 minutes. Cheque payable to charity to be sent via my office. (Registered 30 June 2010)",
4098,"Coffey, Thérèse",Conservative,2010-11,employment,2010-06-30,75.0,False,"Monthly MP Survey for Com Res; Communicate Research Ltd, Coveham House, Downside Bridge Road, Cobham, Surrey KT11 3EP. £75 for 1 hour. Sent directly to charity (Registered 30 June 2010)",
