id,list_name,party,session,type,date,value,donated_to_charity,description,sub_entry
4059,"Danczuk, Simon",Labour,2014-15,employment,2014-11-10,750.0,False,"Payments received from Biteback Publishing, Westminster Tower, 3 Albert Embankment, London, SE1 7SP for a book I co-wrote:","August 2013, £750. Hours: 3 hrs. (Registered 10 November 2014)"
4059,"Danczuk, Simon",Labour,2014-15,employment,2014-11-10,750.0,False,"Payments received from Biteback Publishing, Westminster Tower, 3 Albert Embankment, London, SE1 7SP for a book I co-wrote:","March 2014, £750. Hours: 5 hrs. (Registered 10 November 2014)"
4059,"Danczuk, Simon",Labour,2014-15,employment,2014-11-10,750.0,False,"Payments received from Biteback Publishing, Westminster Tower, 3 Albert Embankment, London, SE1 7SP for a book I co-wrote:","April 2014, £750. Hours: 5 hrs. (Registered 10 November 2014)"
4059,"Danczuk, Simon",Labour,2014-15,employment,2014-12-24,1905.39,False,"Payments received from Biteback Publishing, Westminster Tower, 3 Albert Embankment, London, SE1 7SP for a book I co-wrote:","7 December 2014, £1,905.39. Hours: 13 hrs. (Registered 24 December 2014)"
4059,"Danczuk, Simon",Labour,2014-15,employment,2014-11-05,12915.0,False,"Payments received from DMGT PLC, Registered Office: Northcliffe House, 2 Derry St, Kensington, London, W8 5TT:","11 July 2014, received £12,915, for the publication of excerpts from a book I co-wrote. Hours: approx. 24 hrs over 12 months. (Registered 5 November 2014)"
4059,"Danczuk, Simon",Labour,2014-15,employment,2014-12-24,350.0,False,"Payments received from DMGT PLC, Registered Office: Northcliffe House, 2 Derry St, Kensington, London, W8 5TT:","29 October 2014, received £350, for an article I co-wrote. Hours: approx. 1.5 hrs. (Registered 24 December 2014)"
4059,"Danczuk, Simon",Labour,2014-15,employment,2014-12-24,250.0,False,"Payments received from DMGT PLC, Registered Office: Northcliffe House, 2 Derry St, Kensington, London, W8 5TT:","1 December 2014, received £250 for an article I co-wrote. Hours: approx. 1.5 hrs. (Registered 24 December 2014)"
4059,"Danczuk, Simon",Labour,2014-15,employment,2014-11-13,350.0,False,"23 October 2014, received £350 for training NHS executives, from Cumberlege Eden & Partners, Snells Cottage, The Green, Newick, Lewes BN8 4LA. Hours: approx. 3 hrs. (Registered 13 November 2014)",
4059,"Danczuk, Simon",Labour,2014-15,employment,2014-11-18,350.0,False,"Payments received from Telegraph Media Group Ltd, 111 Buckingham Palace Road London SW1W 0DT:","14 November 2014, received £350 for an article I co-wrote. Hours: approx. 1 hr. (Registered 18 November 2014)"
4059,"Danczuk, Simon",Labour,2014-15,employment,2014-12-24,300.0,False,"Payments received from Telegraph Media Group Ltd, 111 Buckingham Palace Road London SW1W 0DT:","3 October 2014, received £300 for an article I co-wrote. Hours: approx. 1 hr. (Registered 24 December 2014)"
4059,"Danczuk, Simon",Labour,2014-15,employment,2014-12-24,142.5,False,"Payments received from the Guardian Media Group, Kings Place, 90 York Way, London N1 9GU:","2 October 2014, received £142.50 for an article I co-wrote. Hours: approx. 1 hr. (Registered 24 December 2014)"
4059,"Danczuk, Simon",Labour,2014-15,employment,2014-12-24,207.5,False,"Payments received from the Guardian Media Group, Kings Place, 90 York Way, London N1 9GU:","10 November 2014, received £207.50 for an article I co-wrote. Hours: approx. 2 hrs. (Registered 24 December 2014)"
4059,"Danczuk, Simon",Labour,2014-15,employment,2014-12-24,125.0,False,"Payments received from the Guardian Media Group, Kings Place, 90 York Way, London N1 9GU:","30 July 2014, received £125 for an article I co-wrote. Hours: 1 hr. (Registered 24 December 2014)"
4059,"Danczuk, Simon",Labour,2014-15,employment,2014-12-24,400.0,False,"Payments received from the Guardian Media Group, Kings Place, 90 York Way, London N1 9GU:","3 December 2014, received £400 for an article I co-wrote. Hours: 1 hr. (Registered 24 December 2014)"
4059,"Danczuk, Simon",Labour,2014-15,gift,2014-04-25,400.0,False,Donor: 4 Ventures Ltd,
4059,"Danczuk, Simon",Labour,2014-15,gift,2014-11-03,1404.0,False,Donor: JTI UK,
4059,"Danczuk, Simon",Labour,2013-14,directorship,2013-06-19,1000.0,False,"From 1 February 2013 until 10 July 2013, Non-Executive Director, providing business advice for Anne McNamara Consultancy Ltd,  operating as Shine Bid Management, The Design Works, 93-99 Goswell Road, London, EC1V 7EY. Remuneration of up to £1,000 per month, for 1 day per month. (Updated 16 July 2013 and 21 August 2013)","2 May 2013, received £1,000. Hours: 8 hrs. (Registered 19 June 2013; updated 3 July 2013)"
4059,"Danczuk, Simon",Labour,2013-14,directorship,2013-07-16,1000.0,False,"From 1 February 2013 until 10 July 2013, Non-Executive Director, providing business advice for Anne McNamara Consultancy Ltd,  operating as Shine Bid Management, The Design Works, 93-99 Goswell Road, London, EC1V 7EY. Remuneration of up to £1,000 per month, for 1 day per month. (Updated 16 July 2013 and 21 August 2013)","25 June 2013, received £1,000 for the period 1 March to 30 April 2013. Hours: 16 hrs. (Registered 16 July 2013)"
4059,"Danczuk, Simon",Labour,2013-14,directorship,2013-07-16,1000.0,False,"From 1 February 2013 until 10 July 2013, Non-Executive Director, providing business advice for Anne McNamara Consultancy Ltd,  operating as Shine Bid Management, The Design Works, 93-99 Goswell Road, London, EC1V 7EY. Remuneration of up to £1,000 per month, for 1 day per month. (Updated 16 July 2013 and 21 August 2013)","8 July 2013, received £1,000 for the period 1 May to 10 July 2013. Hours: 16 hrs. (Registered 16 July 2013)"
4059,"Danczuk, Simon",Labour,2013-14,employment,2013-02-06,75.0,False,"Payments from ComRes, Four Millbank, London SW1P 3JA, for completing surveys:","December 2012, payment of £75.  Hours: 20 mins. (Registered 6 February 2013)"
4059,"Danczuk, Simon",Labour,2013-14,employment,2013-02-06,300.0,False,"Fees from Cumberlege Connections Ltd, Snells Cottage, The Green, Newick, Lewes, East","November 2012, received fee of £300 for speaking at Westminster Experience training workshop.  Hours: 3 hrs. (Registered 6 February 2013)"
4059,"Danczuk, Simon",Labour,2013-14,employment,2013-02-06,100.0,False,"Fee of £100 from Leftfield, 51 Clink Street, London SE1 9DG, for survey, December 2012.  Hours: 30 mins. (Registered 6 February 2013)",
4059,"Danczuk, Simon",Labour,2013-14,employment,2013-02-06,150.0,False,"Fee of £150 from Ipsos MORI, 79-81 Borough Road, London SE1 1FY, for survey, November 2012.  Hours: 30 mins. (Registered 6 February 2013)",
4059,"Danczuk, Simon",Labour,2013-14,employment,2013-09-20,300.0,False,"Fee of £300 from The Times newspaper, 3 Thomas More Square, London E98 1XY, for an article.  Hours: 3 hrs. (Registered 20 September 2013)",
4059,"Danczuk, Simon",Labour,2013-14,employment,2013-10-28,250.0,True,"On 22 October 2013 I gave a presentation on behalf of the Consultation Institute, Baystrait House, Station Road, Biggleswade, SG18 8AL. Fee of £250 donated direct to local charity. Hours: 3 hrs. (Registered 28 October 2013)",
4059,"Danczuk, Simon",Labour,2013-14,oversees_visit,2013-02-06,960.0,False,Donor: Sir Joseph Hotung Programme,
4059,"Danczuk, Simon",Labour,2012-13,employment,2012-09-28,75.0,False,"Payments from ComRes, Four Millbank, London SW1P 3JA, for completing surveys:","13 February 2012, payment of £75.  Hours: 15 mins. (Registered 28 September 2012)"
4059,"Danczuk, Simon",Labour,2012-13,employment,2012-09-28,75.0,False,"Payments from ComRes, Four Millbank, London SW1P 3JA, for completing surveys:","11 March 2012, payment of £75.  Hours: 15 mins. (Registered 28 September 2012)"
4059,"Danczuk, Simon",Labour,2012-13,employment,2012-09-28,75.0,False,"Payments from ComRes, Four Millbank, London SW1P 3JA, for completing surveys:","15 June 2012, payment of £75.  Hours: 15 mins. (Registered 28 September 2012)"
4059,"Danczuk, Simon",Labour,2012-13,employment,2012-09-28,75.0,False,"Payments from ComRes, Four Millbank, London SW1P 3JA, for completing surveys:","5 August 2012, payment of £75.  Hours: 15 mins.  (Registered 28 September 2012)"
4059,"Danczuk, Simon",Labour,2012-13,employment,2012-10-04,75.0,False,"Payments from ComRes, Four Millbank, London SW1P 3JA, for completing surveys:","23 August 2012, payment of £75.  Hours: 15 mins. (Registered 4 October 2012)"
4059,"Danczuk, Simon",Labour,2012-13,employment,2012-09-28,75.0,False,"Payment from YouGov, 50 Featherstone Street, London EC1Y 8RT:","July 2012, payment of £75.  Hours: 20 mins. (Registered 28 September 2012)"
4059,"Danczuk, Simon",Labour,2012-13,employment,2012-08-08,300.0,False,,"December 2011, received fee of £300 for speaking at Fringe meeting of NHS Alliance Conference. Hours: 1.5 hrs (Registered 8 August 2012)"
4059,"Danczuk, Simon",Labour,2012-13,employment,2012-08-08,300.0,False,,"March 2012 , received fee of £300 for speaking at Westminster Experience training workshop. Hours:  3 hrs. (Registered 8 August 2012)"
4059,"Danczuk, Simon",Labour,2012-13,employment,2012-08-08,300.0,False,,"June 2012, received fee of £300 for speaking at Westminster Experience training workshop. Hours: 3 hrs. (Registered 8 August 2012)"
4059,"Danczuk, Simon",Labour,2012-13,employment,2012-09-28,300.0,False,,"11 September 2012, received fee of £300 for speaking at Westminster Experience training workshop. Hours: 1.5 hrs. (Registered 28 September 2012)"
4059,"Danczuk, Simon",Labour,2011-12,directorship,2011-05-20,12000.0,False,"Vision Twenty-One, Milton Hall, 244 Deansgate, Manchester M3 4BQ (Urban Visions Ltd) (social research).  Company ceased trading in May 2011.","Payment of £12,000 as non-executive director of Vision Twenty-One, for period May 2010-April 2011.  Hours: approximately 12 hours work per month. (Registered 20 May 2011)"
4059,"Danczuk, Simon",Labour,2011-12,employment,2011-05-20,80.0,False,"Fees from YouGov, 50 Featherstone St, London EC1Y 8RT, for completing surveys:","January 2011, £80, donated to an organisation of my choice.  Hours: 15 mins. (Registered 20 May 2011)"
4059,"Danczuk, Simon",Labour,2011-12,employment,2011-05-20,80.0,False,"Fees from YouGov, 50 Featherstone St, London EC1Y 8RT, for completing surveys:","March 2011, £80, donated to an organisation of my choice.  Hours: 15 mins. (Registered 20 May 2011)"
4059,"Danczuk, Simon",Labour,2011-12,employment,2011-11-04,75.0,False,"Payment of £75 from ComRes, Four Millbank, London SW1P 3JA, for completing a survey. Hours: 20 mins.  (Registered 4 November 2011)",
4059,"Danczuk, Simon",Labour,2011-12,gift,2011-08-24,1158.0,False,Donor: Japan Tobacco International,
