id,list_name,party,session,type,date,value,donated_to_charity,description,sub_entry
389,"Flint, Caroline",Labour,2014-15,employment,2014-10-15,75.0,False,"Parliamentary Panel survey questionnaires completed for ComRes, 4 Millbank, London SW1P 3JA.",Payment of £75 for April-May survey. Hours: 1 hr. Fee paid directly to Don Valley Labour Party on 15 July 2014. (Registered 15 October 2014)
389,"Flint, Caroline",Labour,2014-15,employment,2014-10-15,75.0,False,"Parliamentary Panel survey questionnaires completed for ComRes, 4 Millbank, London SW1P 3JA.",Payment of £75 for May-June survey. Hours: 1 hr. Fee paid directly to Don Valley Labour Party on 8 September 2014. (Registered 15 October 2014)
389,"Flint, Caroline",Labour,2014-15,employment,2014-10-15,75.0,False,"Parliamentary Panel survey questionnaires completed for ComRes, 4 Millbank, London SW1P 3JA.",Payment of £75 for July survey. Hours: 1 hr. Fee paid directly to Don Valley Labour Party on 10 October 2014. (Registered 15 October 2014)
389,"Flint, Caroline",Labour,2014-15,employment,2014-12-01,75.0,False,"Parliamentary Panel survey questionnaires completed for ComRes, 4 Millbank, London SW1P 3JA.",Payment of £75 for October survey. Hours: 1 hr. Fee paid directly to Don Valley Labour Party on 18 November 2014. (Registered 1 December 2014)
389,"Flint, Caroline",Labour,2014-15,employment,2014-10-07,200.0,False,"Payment of £200 received on 29 September 2014 for survey interview completed on 1 July 2014 for Ipsos Mori, 79-81 Borough Road, London SE1 1FY. Hours: 1 hr. Payment made directly to Don Valley Labour Party. (Registered 7 October 2014)",
389,"Flint, Caroline",Labour,2013-14,employment,2013-05-17,75.0,False,"Parliamentary Panel survey questionnaires completed for ComRes, 4 Millbank, London SW1P 3JA.","Payment of £75 for February 2013 survey.  Hours: 1 hr. Payment made directly to Don Valley Labour Party, received 12 April 2013. (Registered 17 May 2013)"
389,"Flint, Caroline",Labour,2013-14,employment,2013-08-01,75.0,False,"Parliamentary Panel survey questionnaires completed for ComRes, 4 Millbank, London SW1P 3JA.",Payment of £75 for April-May 2012 survey.  Hours: 1 hr. Payment received 27 June 2013. (Registered 1 August 2013)
389,"Flint, Caroline",Labour,2013-14,employment,2013-10-08,75.0,False,"Parliamentary Panel survey questionnaires completed for ComRes, 4 Millbank, London SW1P 3JA.",Payment of £75 for June 2013 survey.  Hours: 1 hr. Payment received 19 September 2013. (Registered 8 October 2013)
389,"Flint, Caroline",Labour,2013-14,employment,2013-12-11,75.0,False,"Parliamentary Panel survey questionnaires completed for ComRes, 4 Millbank, London SW1P 3JA.",Payment of £75 for October 2013 survey.  Hours: 1 hr. Payment received 22 November 2013. (Registered 11 December 2013)
389,"Flint, Caroline",Labour,2013-14,sponsorship,2013-01-30,7942.0,False,Donor: Ove Arup & Partners International Ltd,
389,"Flint, Caroline",Labour,2013-14,sponsorship,2013-09-30,1929.0,False,Donor: Calor Gas Ltd,
389,"Flint, Caroline",Labour,2013-14,oversees_visit,2013-07-18,2301.58,False,Donor: Friends of the Earth,
389,"Flint, Caroline",Labour,2012-13,employment,2012-06-14,75.0,False,"Parliamentary Panel survey questionnaires completed for ComRes, 4 Millbank, London SW1P 3JA.","Payment of £75 for completing January-February 2012 survey.  Hours: 1 hr.  Payment made directly to Don Valley Labour Party, received April 2012. (Registered 14 June 2012)"
