id,list_name,party,session,type,date,value,donated_to_charity,description,sub_entry
87,"Gale, Roger",Conservative,2014-15,employment,2014-01-30,75.0,False,"Payments from ComRes, 4 Millbank, London SW1P 3JA, for opinion surveys. Payments donated to charity:","28 November 2012, payment of £75.  Hours: 1 hr. 
(Registered 30 January 2014)"
87,"Gale, Roger",Conservative,2014-15,employment,2014-01-30,75.0,False,"Payments from ComRes, 4 Millbank, London SW1P 3JA, for opinion surveys. Payments donated to charity:","20 December 2012, payment of £75.  Hours: 1 hr. 
(Registered 30 January 2014)"
87,"Gale, Roger",Conservative,2014-15,employment,2014-01-30,75.0,False,"Payments from ComRes, 4 Millbank, London SW1P 3JA, for opinion surveys. Payments donated to charity:","15 February 2013, payment of £75.  Hours: 1 hr. 
(Registered 30 January 2014)"
87,"Gale, Roger",Conservative,2014-15,employment,2014-01-30,75.0,False,"Payments from ComRes, 4 Millbank, London SW1P 3JA, for opinion surveys. Payments donated to charity:","21 March 2013, payment of £75.  Hours: 1 hr. 
(Registered 30 January 2014)"
87,"Gale, Roger",Conservative,2014-15,employment,2014-01-30,75.0,False,"Payments from ComRes, 4 Millbank, London SW1P 3JA, for opinion surveys. Payments donated to charity:","16 May 2013, payment of £75.  Hours: 1 hr. 
(Registered 30 January 2014)"
87,"Gale, Roger",Conservative,2014-15,employment,2014-01-30,75.0,False,"Payments from ComRes, 4 Millbank, London SW1P 3JA, for opinion surveys. Payments donated to charity:","30 August 2013, payment of £75.  Hours: 1 hr. 
(Registered 30 January 2014)"
87,"Gale, Roger",Conservative,2014-15,employment,2014-01-30,150.0,False,"Payments from Ipsos MORI, 79-81 Borough Road, London SE1 1FY for opinion surveys.  Payments donated to charity:","12 December 2012, payment of £150.  Hours: 1 hr. (Registered 30 January 2014)"
87,"Gale, Roger",Conservative,2014-15,employment,2014-01-30,80.0,False,"Payments from Ipsos MORI, 79-81 Borough Road, London SE1 1FY for opinion surveys.  Payments donated to charity:","2 August 2013, payment of £80.  Hours: 1 hr. (Registered 30 January 2014)"
87,"Gale, Roger",Conservative,2014-15,employment,2014-01-30,100.0,True,"Payment of £100 from Dods Parliamentary Services, 21 Dartmouth Street, London SW1H 9BP, for opinion survey.  Hours: 1 hr. Payment donated to charity. (Registered 30 January 2014)",
87,"Gale, Roger",Conservative,2014-15,oversees_visit,2014-03-11,1530.48,False,Donor: The Society for the Protection of Animals Abroad,
87,"Gale, Roger",Conservative,2011-12,employment,2011-03-10,100.0,True,"Survey completed for Populus, Northburgh House, 10 Northburgh Street, London EC1V 0AT:",Survey completed on 28 April 2010. £100 donated direct to charity. Hours: 15 mins. (Registered 10 March 2011)
87,"Gale, Roger",Conservative,2011-12,employment,2011-03-25,75.0,True,"Survey completed for Populus, Northburgh House, 10 Northburgh Street, London EC1V 0AT:","£75 for completing survey, donated direct to charity.  Hours: 15 mins. (Registered25 March 2011)"
87,"Gale, Roger",Conservative,2011-12,employment,2011-03-10,75.0,True,"Survey completed for Populus, Northburgh House, 10 Northburgh Street, London EC1V 0AT:","15 March 2010, £75.00 fee donated directly to charity. Hours: 15 mins. (Registered 10 March 2011)"
87,"Gale, Roger",Conservative,2011-12,employment,2011-03-10,75.0,True,"Survey completed for Populus, Northburgh House, 10 Northburgh Street, London EC1V 0AT:","30 July 2010, £75 fee donated directly to charity. Hours: 15 mins. (Registered 10 March 2011)"
87,"Gale, Roger",Conservative,2011-12,employment,2011-03-10,75.0,True,"Survey completed for Populus, Northburgh House, 10 Northburgh Street, London EC1V 0AT:","13 October 2010, £75 fee donated directly to charity. Hours: 15 mins. (Registered 10 March 2011)"
87,"Gale, Roger",Conservative,2011-12,employment,2011-03-10,75.0,True,"Survey completed for Populus, Northburgh House, 10 Northburgh Street, London EC1V 0AT:","17 November 2010, £75 fee donated directly to charity. Hours: 15 mins. (Registered 10 March 2011)"
87,"Gale, Roger",Conservative,2011-12,employment,2011-03-10,75.0,True,"Survey completed for Populus, Northburgh House, 10 Northburgh Street, London EC1V 0AT:","10 January 2011, £75 fee donated directly to charity. Hours: 15 mins. (Registered 10 March 2011)"
87,"Gale, Roger",Conservative,2011-12,employment,2011-03-11,75.0,True,"Survey completed for Populus, Northburgh House, 10 Northburgh Street, London EC1V 0AT:","February-March 2011, £75 fee donated directly to charity. Hours: 20 mins. (Registered 11 March 2011)"
87,"Gale, Roger",Conservative,2011-12,employment,2011-05-12,75.0,True,"Survey completed for Populus, Northburgh House, 10 Northburgh Street, London EC1V 0AT:","March-April 2011, £75 fee donated directly to charity.  Hours: 20 mins. (Registered 12 May 2011)"
87,"Gale, Roger",Conservative,2011-12,oversees_visit,2011-10-13,700.0,False,Donor: Municipality of Morphou,
87,"Gale, Roger",Conservative,2010-11,employment,2010-03-03,50.0,True,"Populus Ltd, Northburgh House, 10 Northburgh Street, London EC1V 0AT. Survey completed on 2 March 2010. £50 donated direct to charity. Hours: 30 mins. (Registered 3 March 2010)",
87,"Gale, Roger",Conservative,2010-11,oversees_visit,2009-12-10,650.0,False,Donor: Municipality of Morphou and the Association of Cypriot Municipalities,
87,"Gale, Roger",Conservative,2010-11,oversees_visit,2010-01-20,1039.38,False,Donor: Voluntary Service Overseas,
