id,list_name,party,session,type,date,value,donated_to_charity,description,sub_entry
227,"George, Andrew",Liberal Democrat,2014-15,employment,2014-01-21,75.0,False,"ComRes, 4 Millbank, London SW1P 3JA:","13 January 2014, £75 donation to local charity or voluntary organisation.  Hours: 60 mins. (Registered 21 January 2014)"
227,"George, Andrew",Liberal Democrat,2014-15,employment,2014-01-23,75.0,False,"ComRes, 4 Millbank, London SW1P 3JA:","17 January 2014, £75 donation to local charity or voluntary organisation.  Hours: 45 mins. (Registered 23 January 2014)"
227,"George, Andrew",Liberal Democrat,2014-15,employment,2014-06-17,75.0,False,"ComRes, 4 Millbank, London SW1P 3JA:","June 2014, £75 donation to local charity or voluntary organisation.  Hours: 45 mins. (Registered 17 June 2014)"
227,"George, Andrew",Liberal Democrat,2014-15,employment,2014-06-17,75.0,False,"ComRes, 4 Millbank, London SW1P 3JA:","June 2014, £75 donation to local charity or voluntary organisation.  Hours: 45 mins. (Registered 17 June 2014)"
227,"George, Andrew",Liberal Democrat,2014-15,employment,2014-08-08,75.0,False,"ComRes, 4 Millbank, London SW1P 3JA:","30 April 2014, £75 donation to local charity or voluntary organisation.  Hours: 45 mins. (Registered 8 August 2014)"
227,"George, Andrew",Liberal Democrat,2014-15,employment,2014-08-08,75.0,False,"ComRes, 4 Millbank, London SW1P 3JA:","29 July 2014, £75 donation to local charity or voluntary organisation.  Hours: 55 mins. (Registered 8 August 2014)"
227,"George, Andrew",Liberal Democrat,2014-15,employment,2014-12-19,75.0,False,"ComRes, 4 Millbank, London SW1P 3JA:","18 November 2014, £75 donation to local charity or voluntary organisation.  Hours: 30 mins. (Registered 19 December 2014)"
227,"George, Andrew",Liberal Democrat,2014-15,employment,2014-09-10,75.0,False,"Populus, Northburgh House, 10 Northburgh Street, London EC1V 0AT:","6 August 2014, £75 donation to local charity or voluntary organisation.  Hours: 35 mins. (Registered 10 September 2014)"
227,"George, Andrew",Liberal Democrat,2013-14,employment,2013-03-11,75.0,False,"ComRes, 4 Millbank, London SW1P 3JA:","26 February 2013, £75 donation to local charity or voluntary organisation.  Hours: 40 mins. (Registered 11 March 2013)"
227,"George, Andrew",Liberal Democrat,2013-14,employment,2013-04-23,75.0,False,"ComRes, 4 Millbank, London SW1P 3JA:","26 March 2013, £75 donation to local charity or voluntary organisation.  Hours: 45 mins. (Registered 23 April 2013)"
227,"George, Andrew",Liberal Democrat,2013-14,employment,2013-02-13,400.0,True,"31 January 2013, payment of £400 from Sunday Publishing, 207 Union Street, London SE1 0LN, for an article for the Ethos Journal.  Hours: 4 hrs.  Payment donated to a local charity or voluntary organisation. (Registered 13 February 2013)",
