id,list_name,party,session,type,date,value,donated_to_charity,description,sub_entry
4047,"Greatrex, Tom",Labour,2014-15,employment,2014-01-21,75.0,False,"Fees from Comres, Four Millbank, London, SW1P 3JA for participation in Parliamentary Panel Surveys:","January 2014, £75 for November 2013 survey, paid to Tom Greatrex MP Office Account.  Hours: 30 mins. (Registered 21 January 2014)"
4047,"Greatrex, Tom",Labour,2014-15,employment,2014-03-19,75.0,False,"Fees from Comres, Four Millbank, London, SW1P 3JA for participation in Parliamentary Panel Surveys:","19 March 2014, £75 for January 2013 survey, paid to Tom Greatrex MP Office Account.  Hours: 30 mins. (Registered 19 March 2014)"
4047,"Greatrex, Tom",Labour,2014-15,employment,2014-05-06,75.0,False,"Fees from Comres, Four Millbank, London, SW1P 3JA for participation in Parliamentary Panel Surveys:","£75 for survey, paid to Tom Greatrex MP Office Account.  Hours: 30 mins. (Registered 6 May 2014)"
4047,"Greatrex, Tom",Labour,2014-15,employment,2014-06-20,75.0,False,"Fees from Comres, Four Millbank, London, SW1P 3JA for participation in Parliamentary Panel Surveys:","£75 for survey, paid to Tom Greatrex MP Office Account.  Hours: 30 mins. (Registered 20 June 2014)"
4047,"Greatrex, Tom",Labour,2014-15,employment,2014-11-28,75.0,False,"Fees from Comres, Four Millbank, London, SW1P 3JA for participation in Parliamentary Panel Surveys:","27 November 2014, £75 for survey, paid to Tom Greatrex MP Office Account.  Hours: 45 mins. (Registered 28 November 2014)"
4047,"Greatrex, Tom",Labour,2014-15,oversees_visit,2014-06-20,4607.44,False,Donor: Exane BNP Paribas,
4047,"Greatrex, Tom",Labour,2013-14,employment,2013-06-11,75.0,False,"Fees from Comres, Four Millbank, London, SW1P 3JA for participation in Parliamentary Panel Surveys:","16 May 2013, £75 for April 2013 parliamentary panel survey, paid direct to Cambuslang Labour Party. Hours: 20 mins. (Registered 11 June 2013)"
4047,"Greatrex, Tom",Labour,2013-14,employment,2013-09-09,75.0,False,"Fees from Comres, Four Millbank, London, SW1P 3JA for participation in Parliamentary Panel Surveys:","9 September 2013, £75 for June 2013 survey, paid to Tom Greatrex MP Office Account.  Hours: 20 mins.  (Registered 9 September 2013)"
4047,"Greatrex, Tom",Labour,2013-14,employment,2013-11-26,75.0,False,"Fees from Comres, Four Millbank, London, SW1P 3JA for participation in Parliamentary Panel Surveys:","22 November 2013, £75 for survey, paid to Tom Greatrex MP Office Account.  Hours: 20 mins.  (Registered 26 November 2013)"
4047,"Greatrex, Tom",Labour,2013-14,employment,2013-11-19,80.0,True,"Fee of £80 received on 7 November 2013 from Ipsos MORI,  79-81 Borough Road, London SE1 1FY, for research interview.  Hours: 20 mins. Payment donated to local charity. (Registered 19 November 2013)",
4047,"Greatrex, Tom",Labour,2013-14,employment,2013-11-26,80.0,False,"Payment of £80 from YouGov, Featherstone St, London EC1Y 8RT, for survey, paid to Tom Greatrex MP Office Account.  Hours: 20 mins.  (Registered 26 November 2013)",
4047,"Greatrex, Tom",Labour,2013-14,oversees_visit,2013-04-09,3500.0,False,Donor: Government of the United Arab Emirates,
4047,"Greatrex, Tom",Labour,2013-14,oversees_visit,2013-09-19,1752.0,False,Donor: Results UK,
4047,"Greatrex, Tom",Labour,2013-14,oversees_visit,2013-12-27,781.15,False,Donor: Ice Energy Technologies,
4047,"Greatrex, Tom",Labour,2012-13,employment,2012-08-01,75.0,False,"Fees from Comres, Four Millbank, London, SW1P 3JA for participation in Parliamentary Panel Surveys:","January 2011, £75. (Payment received in February 2011.) Hours: 20 mins.  Payment donated to Tom Greatrex MP Office Account. (Registered 1 August 2012)"
4047,"Greatrex, Tom",Labour,2012-13,employment,2012-08-01,75.0,False,"Fees from Comres, Four Millbank, London, SW1P 3JA for participation in Parliamentary Panel Surveys:","February-March 2011, £75.  (Payment received in March 2011/) Hours: 20 mins. Payment donated to Rutherglen and Hamilton West Constituency Labour Party. (Registered 1 August 2012)"
4047,"Greatrex, Tom",Labour,2012-13,employment,2012-08-01,75.0,False,"Fees from Comres, Four Millbank, London, SW1P 3JA for participation in Parliamentary Panel Surveys:","April 2011, £75.   (Payment received in April 2011.)  Hours: 20 mins. Payment donated to Tom Greatrex MP Office Account. (Registered 1 August 2012)"
4047,"Greatrex, Tom",Labour,2012-13,employment,2012-08-01,50.0,False,"Fees from Comres, Four Millbank, London, SW1P 3JA for participation in Parliamentary Panel Surveys:","April 2011, £50.  (Payment received in May 2011.) Payment donated to Rutherglen and Hamilton West Constituency Labour Party. Hours: 20 mins. (Registered 1 August 2012)"
4047,"Greatrex, Tom",Labour,2012-13,employment,2012-08-01,75.0,False,"Fees from Comres, Four Millbank, London, SW1P 3JA for participation in Parliamentary Panel Surveys:","May 2011, £75.  (Payment received in June 2011.)  Hours: 20 mins.  Payment donated to Tom Greatrex MP Office Account (Registered 1 August 2012)"
4047,"Greatrex, Tom",Labour,2012-13,employment,2012-08-01,75.0,False,"Fees from Comres, Four Millbank, London, SW1P 3JA for participation in Parliamentary Panel Surveys:","June 2011, £75.  (Payment received in July 2011.) Hours: 20 mins.  Payment donated to Tom Greatrex MP Office Account (Registered 1 August 2012)"
4047,"Greatrex, Tom",Labour,2012-13,employment,2012-08-01,50.0,True,"Fees from Comres, Four Millbank, London, SW1P 3JA for participation in Parliamentary Panel Surveys:","June 2011, £50.  (Payment received in July 2011.) Hours: 20 mins. Payment donated to charity. (Registered 1 August 2012)"
4047,"Greatrex, Tom",Labour,2012-13,employment,2012-08-01,50.0,False,"Fees from Comres, Four Millbank, London, SW1P 3JA for participation in Parliamentary Panel Surveys:","September 2011, £50.  (Payment received in October 2011.) Payment donated to Tom Greatrex MP Office Account. Hours: 20 mins. (Registered 1 August 2012)"
4047,"Greatrex, Tom",Labour,2012-13,employment,2012-08-01,75.0,False,"Fees from Comres, Four Millbank, London, SW1P 3JA for participation in Parliamentary Panel Surveys:","October 2011, £75. (Payment received in December 2011.) Hours: 20 mins. Payment donated to Tom Greatrex MP Office Account. (Registered 1 August 2012)"
4047,"Greatrex, Tom",Labour,2011-12,employment,2011-02-04,75.0,False,"Fees from Comres, Four Millbank, London, SW1P 3JA for participation in Parliamentary Panel Surveys:",£75:  20 mins.   Fee paid direct to Tom Greatrex MP Office Account. (Registered 4 February 2011)
4047,"Greatrex, Tom",Labour,2011-12,employment,2011-02-22,75.0,False,"Fees from Comres, Four Millbank, London, SW1P 3JA for participation in Parliamentary Panel Surveys:",£75:  20 mins.   Fee paid direct to Tom Greatrex MP Office Account. (Registered 22 February 2011)
4047,"Greatrex, Tom",Labour,2011-12,employment,2011-03-15,75.0,False,"Fees from Comres, Four Millbank, London, SW1P 3JA for participation in Parliamentary Panel Surveys:",£75:  20 mins.  Fee paid directly to my constituency party. (Registered 15 March 2011)
4047,"Greatrex, Tom",Labour,2011-12,employment,2011-05-17,75.0,False,"Fees from Comres, Four Millbank, London, SW1P 3JA for participation in Parliamentary Panel Surveys:",£75:  Fee donated to the Tom Greatrex MP Office Account.  Hours: 20-30 mins. (Registered 17 May 2011)
4047,"Greatrex, Tom",Labour,2011-12,employment,2011-06-23,75.0,False,"Fees from Comres, Four Millbank, London, SW1P 3JA for participation in Parliamentary Panel Surveys:",£75:  Fee donated to the Tom Greatrex MP Office Account.  Hours: 20-30 mins. (Registered 23 June 2011)
4047,"Greatrex, Tom",Labour,2011-12,employment,2011-07-05,75.0,False,"Fees from Comres, Four Millbank, London, SW1P 3JA for participation in Parliamentary Panel Surveys:",£75:  Fee donated to the Tom Greatrex MP Office Account.  Hours: 20 mins. (Registered 5 July 2011)
4047,"Greatrex, Tom",Labour,2011-12,employment,2011-08-22,75.0,False,"Fees from Comres, Four Millbank, London, SW1P 3JA for participation in Parliamentary Panel Surveys:",£75.  Fee donated to Rutherglen and Hamilton West Constituency Labour Party.  Hours: 20 mins. (Registered 22 August 2011)
4047,"Greatrex, Tom",Labour,2011-12,employment,2011-02-04,60.0,False,"Fees from Ipsos MORI, 79-81 Borough Road, London, SE1 1FY, for participating in surveys:",Fee of £60 paid direct to Tom Greatrex MP Office Account. Hours: 20 mins. (Registered 4 February 2011)
4047,"Greatrex, Tom",Labour,2011-12,employment,2011-08-22,150.0,False,"Fees from Ipsos MORI, 79-81 Borough Road, London, SE1 1FY, for participating in surveys:","13 July 2011, fee of £150 donated to Office of Tom Greatrex, for participation in interview.  Hours: 1 hr. (Registered 22 August 2011)"
4047,"Greatrex, Tom",Labour,2011-12,employment,2011-01-06,50.0,True,"Fee of £50 for participation in opinion research for Populus, 10 Northburgh Street, London EC1V 0AT.  Hours: 15 mins.  Payment donated to charity. (Registered 6 January 2011)",
4047,"Greatrex, Tom",Labour,2011-12,employment,2011-05-17,80.0,False,"Fee of £80 from YouGov, 50 Featherstone Street, London EC1Y 8RT, donated to the Tom Greatrex MP Office Account.  Hours: 20-30 mins. (Registered 17 May 2011)",
4047,"Greatrex, Tom",Labour,2010-11,employment,2010-07-27,75.0,False,"Fee from Comres, Four Millbank, London, SW1P 3JA for participation in Parliamentary Panel Surveys, paid directly to local party.",£75:  20 mins.  (Registered 27 July 2010)
4047,"Greatrex, Tom",Labour,2010-11,employment,2010-08-20,75.0,False,"Fee from Comres, Four Millbank, London, SW1P 3JA for participation in Parliamentary Panel Surveys, paid directly to local party.",£75:  15 mins. (Registered 20 August 2010)
4047,"Greatrex, Tom",Labour,2010-11,employment,2010-08-20,150.0,False,"Fee of £150 for participation in IPSOS Mori survey paid direct to local party. Address: ComRes, Four Millbank, London, SW1P 3JA. Address: 79-81 Borough Road, London, SE1 1FY Hours: 30 mins. (Registered 20 August 2010)",
