id,list_name,party,session,type,date,value,donated_to_charity,description,sub_entry
4029,"Greenwood, Lilian",Labour,2013-14,employment,2013-09-12,200.0,False,"29 August 2013, received £200 from Ipsos MORI for completing a survey on 10 July 2013. Address: 
79-81 Borough Road
, 
London
 
SE1 1FY
. 
Payment made directly to the Nottingham South Constituency Labour Party. Hours: 1 hr. 
(Registered 12 September 2013)",
4029,"Greenwood, Lilian",Labour,2013-14,oversees_visit,2013-05-24,820.0,False,Donor: Siemens Rail Systems,
4029,"Greenwood, Lilian",Labour,2012-13,employment,2012-01-09,75.0,False,"Payments from ComRes, 4 Millbank, London SW1P 3JA, for completing surveys:",Payment of £75 received 4 December 2011.  Hours: 30 mins.  Fee donated to Constituency Labour Party. (Registered 9 January 2012)
4029,"Greenwood, Lilian",Labour,2012-13,employment,2012-02-21,75.0,False,"Payments from ComRes, 4 Millbank, London SW1P 3JA, for completing surveys:",Payment of £75 received 13 February 2012.  Hours: 30 mins.  Fee donated to Constituency Labour Party. (Registered 21 February 2012)
4029,"Greenwood, Lilian",Labour,2012-13,employment,2012-07-10,75.0,False,"Payments from ComRes, 4 Millbank, London SW1P 3JA, for completing surveys:",Payment of £75 received 9 July 2012 for May-June parliamentary survey..  Hours: 1 hrs.  Fee donated to Constituency Labour Party. (Registered 10 July 2012)
4029,"Greenwood, Lilian",Labour,2011-12,employment,2010-09-14,75.0,False,"Payments from ComRes, 4 Millbank, London SW1P 3JA, for completing surveys:",Payment of £75. Hours: 30 mins. Fee donated to Constituency Labour Party.  (Registered 14 September 2010)
4029,"Greenwood, Lilian",Labour,2011-12,employment,2010-10-21,75.0,False,"Payments from ComRes, 4 Millbank, London SW1P 3JA, for completing surveys:",Payment of £75. Hours: 30 mins. Fee donated to Constituency Labour Party.  (Registered 21 October 2010)
4029,"Greenwood, Lilian",Labour,2011-12,employment,2010-11-22,75.0,False,"Payments from ComRes, 4 Millbank, London SW1P 3JA, for completing surveys:",Payment of £75.  Hours: 30 mins. Fee donated to Constituency Labour Party. (Registered 22 November 2010)
4029,"Greenwood, Lilian",Labour,2011-12,employment,2010-11-29,50.0,False,"Payments from ComRes, 4 Millbank, London SW1P 3JA, for completing surveys:",Payment of £50.  Hours: 15 mins.  Fee donated to Constituency Labour Party. (Registered 29 November 2010)
4029,"Greenwood, Lilian",Labour,2011-12,employment,2011-02-17,50.0,False,"Payments from ComRes, 4 Millbank, London SW1P 3JA, for completing surveys:",Payment of £50.  Hours: 30 mins.  Fee donated to Constituency Labour Party.(Registered 17 February 2011)
4029,"Greenwood, Lilian",Labour,2011-12,employment,2011-03-17,75.0,False,"Payments from ComRes, 4 Millbank, London SW1P 3JA, for completing surveys:",Payment of £75. Hours: 30mins. Fee donated to Constituency Labour Party. (Registered 17 March 2011)
4029,"Greenwood, Lilian",Labour,2011-12,employment,2011-05-03,75.0,False,"Payments from ComRes, 4 Millbank, London SW1P 3JA, for completing surveys:","Payment of £75, received 28 April 2011.  Hours: 30 mins.  Fee donated to Constituency Labour Party. (Registered 3 May 2011"
4029,"Greenwood, Lilian",Labour,2011-12,employment,2011-10-04,75.0,False,"Payments from ComRes, 4 Millbank, London SW1P 3JA, for completing surveys:",Payment of £75 received 24 June 2011.  Hours: 30 mins.  Fee donated to Constituency Labour Party. (Registered 4 October 2011)
4029,"Greenwood, Lilian",Labour,2011-12,employment,2011-10-04,75.0,False,"Payments from ComRes, 4 Millbank, London SW1P 3JA, for completing surveys:",Payment of £75 received 28 July 2011.  Hours: 30 mins.  Fee donated to Constituency Labour Party. (Registered 4 October 2011)
4029,"Greenwood, Lilian",Labour,2011-12,employment,2011-11-02,75.0,False,"Payments from ComRes, 4 Millbank, London SW1P 3JA, for completing surveys:",Payment of £75 received 20 October 2011.  Hours: 30 mins.  Fee donated to Constituency Labour Party. (Registered 2 November 2011)
4029,"Greenwood, Lilian",Labour,2011-12,employment,2011-12-05,75.0,False,"Payments from ComRes, 4 Millbank, London SW1P 3JA, for completing surveys:",Payment of £75 received 29 November 2011.  Hours: 30 mins.  Fee donated to Constituency Labour Party. (Registered 5 December 2011)
4029,"Greenwood, Lilian",Labour,2011-12,employment,2012-01-09,75.0,False,"Payments from ComRes, 4 Millbank, London SW1P 3JA, for completing surveys:",Payment of £75 received 4 December 2011.  Hours: 30 mins.  Fee donated to Constituency Labour Party. (Registered 9 January 2012)
4029,"Greenwood, Lilian",Labour,2011-12,employment,2010-09-14,150.0,False,"Payments from IPSOS Mori, 79-81 Borough Road, London SE1 1FY, for completing surveys:",Payment of £150. Hours: 1 hr. Fee donated to Constituency Labour Party. (Registered 14 September 2010)
4029,"Greenwood, Lilian",Labour,2011-12,employment,2011-02-17,75.0,False,"Payments from IPSOS Mori, 79-81 Borough Road, London SE1 1FY, for completing surveys:",Payment of £75.  Hours: 30 mins.  Fee donated to Constituency Labour Party. (Registered 17 February 2011)
4029,"Greenwood, Lilian",Labour,2011-12,employment,2011-02-17,80.0,False,Payment of £80 from YouGov for completing survey.  Hours: 40 mins.  Fee donated to Constituency Labour Party. (Registered 17 February 2011),
4029,"Greenwood, Lilian",Labour,2010-11,employment,2010-06-04,695.75,False,"Payment of £695.75 gross received for work done in the period 15 April to 6 May 2010. I was on leave during this time, but would normally have worked 28 hours per week. Address: Unison, Regional Centre, Vivian Avenue, Nottingham NG5 1AF. This employment ceased with effect from 7 May 2010. (Registered 4 June 2010)",
