id,list_name,party,session,type,date,value,donated_to_charity,description,sub_entry
533,"Hanson, David",Labour,2014-15,employment,2014-01-22,75.0,True,"Payments from ComRes, Four Millbank, London SW1P 3JA, for opinion surveys:",Payment of £75 for November 2013 parliamentary panel survey.  Hours: 45 mins.  Payment donated to charity. (Registered 22 January 2014)
533,"Hanson, David",Labour,2014-15,employment,2014-04-02,75.0,False,"Payments from ComRes, Four Millbank, London SW1P 3JA, for opinion surveys:",Payment of £75 for January 2014 parliamentary panel survey.  Hours: 45 mins.  (Registered 2 April 2014)
533,"Hanson, David",Labour,2014-15,employment,2014-05-07,75.0,False,"Payments from ComRes, Four Millbank, London SW1P 3JA, for opinion surveys:",Payment of £75 for February-March 2014 parliamentary panel survey.  Hours: 45 mins.  (Registered 7 May 2014)
533,"Hanson, David",Labour,2014-15,employment,2014-06-18,75.0,True,"Payments from ComRes, Four Millbank, London SW1P 3JA, for opinion surveys:",Payment of £75 for April 2014 parliamentary panel survey.  Hours: 45 mins. Payment donated to charity.  (Registered 18 June 2014)
533,"Hanson, David",Labour,2014-15,employment,2014-08-12,75.0,False,"Payments from ComRes, Four Millbank, London SW1P 3JA, for opinion surveys:",Payment of £75 for May-June 2014 parliamentary panel survey.  Hours: 45 mins. (Registered 12 August 2014)
533,"Hanson, David",Labour,2014-15,employment,2014-10-06,75.0,True,"Payments from ComRes, Four Millbank, London SW1P 3JA, for opinion surveys:",Payment of £75 for July 2014 parliamentary panel survey.  Hours: 45 mins. Payment donated to charity. (Registered 6 October 2014)
533,"Hanson, David",Labour,2014-15,employment,2014-12-02,75.0,False,"Payments from ComRes, Four Millbank, London SW1P 3JA, for opinion surveys:",Payment of £75 for October 2014 parliamentary panel survey.  Hours: 45 mins. (Registered 2 December 2014)
533,"Hanson, David",Labour,2014-15,employment,2014-01-31,200.0,False,"Payments from Ipsos MORI, 79-81 Borough Road, London SE1 1FY, for survey of MPs:",Payment of £200. Hours: 45 mins. (Registered 31 January 2014)
533,"Hanson, David",Labour,2014-15,employment,2014-10-02,200.0,True,"Payments from Ipsos MORI, 79-81 Borough Road, London SE1 1FY, for survey of MPs:",Payment of £200. Hours: 45 mins. Payment donated to Delyn Labour Party. (Registered 2 October 2014)
533,"Hanson, David",Labour,2014-15,employment,2014-06-18,80.0,False,"Payment from YouGov, 50 Featherstone Street, London EC1Y 8RT for survey:",Payment of £80 for online survey.  Hours: 45 mins. (Registered 18 June 2014)
533,"Hanson, David",Labour,2013-14,employment,2013-03-05,75.0,False,"Payments from ComRes, Four Millbank, London SW1P 3JA, for opinion surveys:","January 2013, payment of £75.  Hours: 45 mins. (Registered 5 March 2013)"
533,"Hanson, David",Labour,2013-14,employment,2013-04-03,75.0,False,"Payments from ComRes, Four Millbank, London SW1P 3JA, for opinion surveys:","February-March 2013, payment of £75.  Hours: 45 mins. (Registered 3 April 2013)"
533,"Hanson, David",Labour,2013-14,employment,2013-05-22,75.0,False,"Payments from ComRes, Four Millbank, London SW1P 3JA, for opinion surveys:","April 2013, payment of £75.  Hours: 45 mins. (Registered 22 May 2013)"
533,"Hanson, David",Labour,2013-14,employment,2013-09-13,75.0,False,"Payments from ComRes, Four Millbank, London SW1P 3JA, for opinion surveys:",Payment of £75 for June 2013 parliamentary panel survey.  Hours: 45 mins. (Registered 13 September 2013)
533,"Hanson, David",Labour,2013-14,employment,2013-11-26,75.0,False,"Payments from ComRes, Four Millbank, London SW1P 3JA, for opinion surveys:",Payment of £75 for October 2013 parliamentary panel survey.  Hours: 45 mins. (Registered 26 November 2013)
533,"Hanson, David",Labour,2013-14,employment,2013-09-13,200.0,False,"Payments from Ipsos MORI, 79-81 Borough Road, London SE1 1FY, for survey of MPs:",Payment of £200.  Hours: 45 mins. (Registered 13 September 2013)
533,"Hanson, David",Labour,2013-14,employment,2013-11-26,80.0,False,"Payment from YouGov, 50 Featherstone Street, London EC1Y 8RT for survey:",Payment of £80 for online survey.  Hours: 45 mins. (Registered 26 November 2013)
533,"Hanson, David",Labour,2012-13,employment,2012-02-21,75.0,False,"Payments from ComRes, Four Millbank, London SW1P 3JA, for opinion surveys:","January-February 2012, payment of £75.  Hours: 45 mins. (Registered 21 February 2012)"
533,"Hanson, David",Labour,2012-13,employment,2012-04-26,75.0,False,"Payments from ComRes, Four Millbank, London SW1P 3JA, for opinion surveys:","February-March 2012, payment of £75.  Hours: 45 mins. (Registered 26 April 2012)"
533,"Hanson, David",Labour,2012-13,employment,2012-06-22,75.0,False,"Payments from ComRes, Four Millbank, London SW1P 3JA, for opinion surveys:","April-May 2012 survey, payment of £75.  Hours: 45 mins. (Registered 22 June 2012)"
533,"Hanson, David",Labour,2012-13,employment,2012-07-16,75.0,False,"Payments from ComRes, Four Millbank, London SW1P 3JA, for opinion surveys:","May-June 2012, payment of £75.  Hours: 45 mins. (Registered 16 July 2012)"
