id,list_name,party,session,type,date,value,donated_to_charity,description,sub_entry
40,"Jenkin, Bernard",Conservative,2014-15,employment,2014-01-02,250.0,False,"Payments from Aros Corporation Limited, 112 Eversleigh Road, London SW11 5XB, (formerly Envoy Media, 11 Grosvenor Crescent, London SW1X 7EE), for regular column in Diplomat Magazine.  Two hours work per month:","2 December 2013, received £250 for article. Payment made to Harwich and North Essex Conservative Association. Hours: 2 hrs. (Registered 2 January 2014)"
40,"Jenkin, Bernard",Conservative,2014-15,employment,2014-03-24,250.0,False,"Payments from Aros Corporation Limited, 112 Eversleigh Road, London SW11 5XB, (formerly Envoy Media, 11 Grosvenor Crescent, London SW1X 7EE), for regular column in Diplomat Magazine.  Two hours work per month:","13 March 2014, received £250 for article. Hours: 2 hrs. (Registered 24 March 2014)"
40,"Jenkin, Bernard",Conservative,2014-15,employment,2014-06-09,250.0,False,"Payments from Aros Corporation Limited, 112 Eversleigh Road, London SW11 5XB, (formerly Envoy Media, 11 Grosvenor Crescent, London SW1X 7EE), for regular column in Diplomat Magazine.  Two hours work per month:","27 May 2014, received £250 for article. Hours: 2 hrs. (Registered 9 June 2014)"
40,"Jenkin, Bernard",Conservative,2014-15,employment,2014-09-18,500.0,False,"Payments from Aros Corporation Limited, 112 Eversleigh Road, London SW11 5XB, (formerly Envoy Media, 11 Grosvenor Crescent, London SW1X 7EE), for regular column in Diplomat Magazine.  Two hours work per month:","8 September 2014, received £500 for two articles. Hours: 4 hrs. (Registered 18 September 2014)"
40,"Jenkin, Bernard",Conservative,2014-15,employment,2014-12-04,250.0,False,"Payments from Aros Corporation Limited, 112 Eversleigh Road, London SW11 5XB, (formerly Envoy Media, 11 Grosvenor Crescent, London SW1X 7EE), for regular column in Diplomat Magazine.  Two hours work per month:","14 November 2014, received £250 for article. Hours: 2 hrs. (Registered 4 December 2014)"
40,"Jenkin, Bernard",Conservative,2014-15,employment,2014-06-17,120.0,False,"1 June 2014, received payment of £120 from John Wiley & Sons, The Atrium, Southern Gate, Chichester PO9 8SQ, for an article published in The Political Quarterly. Hours: 1 hr. (Registered 17 June 2014)",
40,"Jenkin, Bernard",Conservative,2014-15,employment,2014-11-06,300.0,False,"30 October 2014, received £300 from Guardian News & Media Ltd, Kings Place, 90 York Way, London N1P 2AP, for an article published in the Observer. Hours: 2 hrs. (Registered 6 November 2014)",
40,"Jenkin, Bernard",Conservative,2014-15,gift,2014-12-03,1500.0,False,Donor: Richard Matthews,
40,"Jenkin, Bernard",Conservative,2014-15,gift,2014-12-09,1500.0,False,Donor: Richard Matthews,
40,"Jenkin, Bernard",Conservative,2013-14,employment,2013-03-04,250.0,False,"Payments from Aros Corporation Limited, 4th  Floor, 33 Lowndes Street, London SW1X 9HX (formerly Envoy Media, 11 Grosvenor Crescent, London SW1X 7EE), for regular column in Diplomat Magazine.  Two hours work per month:","14 February 2013, received £250 for article.  Hours: 2 hrs.  Payment made to Harwich and North Essex Conservative Association. (Registered 4 March 2013)"
40,"Jenkin, Bernard",Conservative,2013-14,employment,2013-07-08,250.0,False,"Payments from Aros Corporation Limited, 4th  Floor, 33 Lowndes Street, London SW1X 9HX (formerly Envoy Media, 11 Grosvenor Crescent, London SW1X 7EE), for regular column in Diplomat Magazine.  Two hours work per month:","3 July 2013, received £250 for article.  Hours: 2 hrs.  Payment made to Harwich and North Essex Conservative Association. (Registered 8 July 2013)"
40,"Jenkin, Bernard",Conservative,2013-14,employment,2013-08-02,1000.0,False,"Payments from Aros Corporation Limited, 4th  Floor, 33 Lowndes Street, London SW1X 9HX (formerly Envoy Media, 11 Grosvenor Crescent, London SW1X 7EE), for regular column in Diplomat Magazine.  Two hours work per month:","12 July 2013, received £1,000 for four articles.  Hours: 8 hrs. (Registered 2 August 2013)"
40,"Jenkin, Bernard",Conservative,2013-14,employment,2013-08-23,240.0,False,"Payments from Aros Corporation Limited, 4th  Floor, 33 Lowndes Street, London SW1X 9HX (formerly Envoy Media, 11 Grosvenor Crescent, London SW1X 7EE), for regular column in Diplomat Magazine.  Two hours work per month:","24 July 2013, received £240 for article.  Hours: 2 hrs. Payment made to my research assistant. (Registered 23 August 2013)"
40,"Jenkin, Bernard",Conservative,2013-14,employment,2013-08-24,1250.0,False,"Payments from Aros Corporation Limited, 4th  Floor, 33 Lowndes Street, London SW1X 9HX (formerly Envoy Media, 11 Grosvenor Crescent, London SW1X 7EE), for regular column in Diplomat Magazine.  Two hours work per month:","19 August 2013, received £1,250 for five articles.  Hours: 10 hrs.  Payment made to Harwich and North Essex Conservative Association. (Registered 24 August 2013)"
40,"Jenkin, Bernard",Conservative,2013-14,employment,2013-12-03,250.0,False,"Payments from Aros Corporation Limited, 4th  Floor, 33 Lowndes Street, London SW1X 9HX (formerly Envoy Media, 11 Grosvenor Crescent, London SW1X 7EE), for regular column in Diplomat Magazine.  Two hours work per month:","18 November 2013, received £250 for article.  Hours: 2 hrs. (Registered 3 December 2013)"
40,"Jenkin, Bernard",Conservative,2013-14,employment,2013-12-15,250.0,False,"Payments from Aros Corporation Limited, 4th  Floor, 33 Lowndes Street, London SW1X 9HX (formerly Envoy Media, 11 Grosvenor Crescent, London SW1X 7EE), for regular column in Diplomat Magazine.  Two hours work per month:","12 December 2013, received £250 for article. Hours: 2 hrs. (Registered 15 December 2013)"
40,"Jenkin, Bernard",Conservative,2013-14,employment,2014-01-02,250.0,False,"Payments from Aros Corporation Limited, 4th  Floor, 33 Lowndes Street, London SW1X 9HX (formerly Envoy Media, 11 Grosvenor Crescent, London SW1X 7EE), for regular column in Diplomat Magazine.  Two hours work per month:","2 December 2013, received £250 for article.Payment made to Harwich and North Essex Conservative Association. Hours: 2 hrs. (Registered 2 January 2014)"
40,"Jenkin, Bernard",Conservative,2013-14,employment,2013-12-31,800.0,False,"3 July 2013, payment of £150 from BBC Contributor Payments, PO Box 480, Manchester, M14 0EL, for appearance on BBC R4 ‘Any Questions’ panel.  Hours: 4 hours preparation and participation plus 6 hours travel.  (Registered 8 July 2013)",
40,"Jenkin, Bernard",Conservative,2013-14,gift,2013-12-23,1000.0,False,Donor: Richard Matthews,
40,"Jenkin, Bernard",Conservative,2013-14,gift,2013-12-23,700.0,False,Donor: David Gibbon,
40,"Jenkin, Bernard",Conservative,2013-14,gift,2013-12-23,700.0,False,Donor: Jonathan Minter,
40,"Jenkin, Bernard",Conservative,2012-13,employment,2012-01-06,250.0,False,"Payments from Aros Corporation Limited, 4th  Floor, 33 Lowndes Street, London SW1X 9HX (formerly Envoy Media, 11 Grosvenor Crescent, London SW1X 7EE), for regular column in Diplomat Magazine.  Two hours work per month:","12 December 2011, received £250.  Hours: 2 hrs. (Registered 6 January 2012)"
40,"Jenkin, Bernard",Conservative,2012-13,employment,2012-01-06,250.0,False,"Payments from Aros Corporation Limited, 4th  Floor, 33 Lowndes Street, London SW1X 9HX (formerly Envoy Media, 11 Grosvenor Crescent, London SW1X 7EE), for regular column in Diplomat Magazine.  Two hours work per month:","21 December 2011, received £250.  Hours: 2 hrs. (Registered 6 January 2012)"
40,"Jenkin, Bernard",Conservative,2012-13,employment,2012-01-10,500.0,False,"Payments from Aros Corporation Limited, 4th  Floor, 33 Lowndes Street, London SW1X 9HX (formerly Envoy Media, 11 Grosvenor Crescent, London SW1X 7EE), for regular column in Diplomat Magazine.  Two hours work per month:",Two payments of £250 (total £500) for two columns.  Payment made direct to charity. Hours: 4 hrs. (Registered 10 January 2012)
40,"Jenkin, Bernard",Conservative,2012-13,employment,2012-06-15,250.0,False,"Payments from Aros Corporation Limited, 4th  Floor, 33 Lowndes Street, London SW1X 9HX (formerly Envoy Media, 11 Grosvenor Crescent, London SW1X 7EE), for regular column in Diplomat Magazine.  Two hours work per month:","24 May 2012, received £250 for article.  Hours: 2 hrs. (Registered 15 June 2012)"
40,"Jenkin, Bernard",Conservative,2012-13,employment,2012-09-18,250.0,False,"Payments from Aros Corporation Limited, 4th  Floor, 33 Lowndes Street, London SW1X 9HX (formerly Envoy Media, 11 Grosvenor Crescent, London SW1X 7EE), for regular column in Diplomat Magazine.  Two hours work per month:","14 September 2012, received £250 for article.  Hours: 2 hrs.  Payment made to Harwich and North Essex Conservative Association. (Registered 18 September 2012)"
40,"Jenkin, Bernard",Conservative,2012-13,employment,2012-09-18,250.0,False,"Payments from Aros Corporation Limited, 4th  Floor, 33 Lowndes Street, London SW1X 9HX (formerly Envoy Media, 11 Grosvenor Crescent, London SW1X 7EE), for regular column in Diplomat Magazine.  Two hours work per month:","14 September 2012, received £250 for article.  Hours: 2 hrs.  Payment made to my research assistant. (Registered 18 September 2012)"
