id,list_name,party,session,type,date,value,donated_to_charity,description,sub_entry
634,"Kennedy, Charles",Liberal Democrat,2014-15,employment,2014-06-23,1500.0,False,"Associate Editor of the House Magazine, from 1 May 2006 (which includes participation in occasional ‘Westminster Explained’ seminars, fees from the latter going directly to Highland Hospice.) (Up to £5,000)","Payment of £1,500 on 14 August 2013 for the period December 2012-May 2013. Hours: one hour a week during sitting periods, plus five hours for specific written contributions. (Registered 23 June 2014)"
634,"Kennedy, Charles",Liberal Democrat,2014-15,employment,2014-06-23,1500.0,False,"Associate Editor of the House Magazine, from 1 May 2006 (which includes participation in occasional ‘Westminster Explained’ seminars, fees from the latter going directly to Highland Hospice.) (Up to £5,000)","Payment of £1,500 on 22 January 2014 for the period June to November 2013. Hours: one hour a week during sitting periods, plus five hours for specific written contributions. (Registered 23 June 2014)"
634,"Kennedy, Charles",Liberal Democrat,2014-15,employment,2014-06-23,136.93,False,"Payments from the Authors’ Licensing and Collecting Society, The Writers’ House, 13 Haydon St, London EC3N 1DB:","14 March 2014, received £136.93. Hours: no additional hrs. (Registered 23 June 2014)"
634,"Kennedy, Charles",Liberal Democrat,2013-14,employment,2013-03-06,1500.0,False,"Associate Editor of the House Magazine, from 1 May 2006 (which includes participation in occasional  ‘Westminster Explained’ seminars, fees from the latter going directly to Highland Hospice.)(Up to £5,000)","Payment of £1,500 on 27 June 2012. Hours: one hour a week during sitting periods, plus five hours for specific written contributions. (Registered 6 March 2013)"
634,"Kennedy, Charles",Liberal Democrat,2013-14,employment,2013-03-06,1500.0,False,"Associate Editor of the House Magazine, from 1 May 2006 (which includes participation in occasional  ‘Westminster Explained’ seminars, fees from the latter going directly to Highland Hospice.)(Up to £5,000)","Payment of £1,500 on 12 December 2012. Hours: one hour a week during sitting periods, plus five hours for specific written contributions. (Registered 6 March 2013)"
634,"Kennedy, Charles",Liberal Democrat,2012-13,employment,2012-05-15,3200.0,False,"Associate Editor of the House Magazine, from 1 May 2006 (which includes participation in occasional  ‘Westminster Explained’ seminars, fees from the latter going directly to Highland Hospice. (Up to £5,000)","26 April 2012, payment of £3,200 as guest speaker at the annual Guernsey International Insurance Association dinner. Address: Guernsey, Channels Islands. Hours: 24 hrs. (Registered 15 May 2012)"
634,"Kennedy, Charles",Liberal Democrat,2012-13,employment,2011-11-16,800.0,False,"Contributor to BBC TV and radio programmes.(£5,001–£10,000). Address: BBC Broadcasting House, Portland Place, London W1A 1AA.","£800 for contribution to ""This Week""  (22 September 2011)  Hours: 2 hrs. (Registered 16 November 2011, updated 6 March 2012)"
634,"Kennedy, Charles",Liberal Democrat,2012-13,employment,2012-05-15,1600.0,False,"Contributor to BBC TV and radio programmes.(£5,001–£10,000). Address: BBC Broadcasting House, Portland Place, London W1A 1AA.","£1,600 for two contributions to ""This Week"" (19 April  and 10 May 2012). Hours: 2 hrs each.  (Registered 15 May 2012)"
634,"Kennedy, Charles",Liberal Democrat,2012-13,employment,2013-01-01,5000.0,False,"Contributor to STV programmes. (Up to £5,000)","The Scotsman (Up to £5,000)"
634,"Kennedy, Charles",Liberal Democrat,2012-13,employment,2013-01-01,5000.0,False,"Contributor to STV programmes. (Up to £5,000)","The Herald (Up to £5,000)"
