id,list_name,party,session,type,date,value,donated_to_charity,description,sub_entry
1411,"Lazarowicz, Mark",Labour,2014-15,employment,2014-03-17,75.0,False,"Payments from ComRes, Four Millbank, London SW1P 3JA, for participation in opinion surveys.  Payments used towards cost of my parliamentary newsletter.",Payment of £75 for participation in opinion survey in January 2014. Hours:  30 mins. (Registered 17 March 2014)
1411,"Lazarowicz, Mark",Labour,2014-15,employment,2014-04-23,225.0,False,"Payments from ComRes, Four Millbank, London SW1P 3JA, for participation in opinion surveys.  Payments used towards cost of my parliamentary newsletter.","17 April 2014, received £225 for participation in three opinion surveys in June 2013, November 2013 and February 2014. Hours:  90 mins. (Registered 23 April 2014)"
1411,"Lazarowicz, Mark",Labour,2014-15,employment,2014-05-30,75.0,True,"Payments from ComRes, Four Millbank, London SW1P 3JA, for participation in opinion surveys.  Payments used towards cost of my parliamentary newsletter.","16 May 2014, £75 received for participation in an opinion survey in May 2014. Hours: 30 mins. Payment donated to constituency party. (Registered 30 May 2014)"
1411,"Lazarowicz, Mark",Labour,2014-15,employment,2014-11-28,75.0,False,"Payments from ComRes, Four Millbank, London SW1P 3JA, for participation in opinion surveys.  Payments used towards cost of my parliamentary newsletter.","28 November 2014, £75 received for participation in an opinion survey in October 2014. Hours: 30 mins. (Registered 28 November 2014)"
1411,"Lazarowicz, Mark",Labour,2014-15,employment,2014-04-02,139.13,False,"Payment of £192.06 received from Authors’ Licensing & Collecting Society, The Writers' House, 13 Haydon Street, London, EC3N 1DB for outstanding book royalties. No additional hours worked. (Registered 6 March 2013)",£139.13 received. (Registered 2 April 2014)
1411,"Lazarowicz, Mark",Labour,2014-15,employment,2014-10-08,200.0,True,,Payment of £200 received. Hours: 1 hr. Payment donated to local organisation. (Registered 8 October 2014)
1411,"Lazarowicz, Mark",Labour,2013-14,employment,2013-04-11,300.0,False,"Payments from ComRes, Four Millbank, London SW1P 3JA, for participation in opinion surveys.  Payments used towards cost of my parliamentary newsletter.","Payment of £300 for participation in opinion surveys in April 2012, July 2012, January 2013 and February 2013. Hours:  2 hrs.  (Registered 11 April 2013)"
1411,"Lazarowicz, Mark",Labour,2013-14,employment,2013-11-19,75.0,False,"Payments from ComRes, Four Millbank, London SW1P 3JA, for participation in opinion surveys.  Payments used towards cost of my parliamentary newsletter.",Payment of £75 for participation in opinion survey in October 2013. Hours:  30 mins. (Registered 19 November 2013)
1411,"Lazarowicz, Mark",Labour,2013-14,employment,2013-03-06,192.06,False,"Payment of £192.06 received from Authors’ Licensing & Collecting Society, The Writers' House, 13 Haydon Street, London, EC3N 1DB for outstanding book royalties. No additional hours worked. (Registered 6 March 2013)",
1411,"Lazarowicz, Mark",Labour,2012-13,employment,2013-01-11,75.0,False,"Payment of £150 received from ComRes, Four Millbank, London SW1P 3JA, for participation in two opinion surveys.  Hours: 1 hr.  Payment used towards cost of my parliamentary newsletter. (Registered 10 April 2012)",
1411,"Lazarowicz, Mark",Labour,2012-13,employment,2012-10-02,150.0,True,"Payment of £75 received from Populus, 
10 Northburgh Street
. London EC1V 0AT, for participation in an opinion survey. Hours: 25 mins. Payment donated to my constituency Labour Party. 
(Registered 17 July 2012)",
1411,"Lazarowicz, Mark",Labour,2010-11,employment,2009-09-07,2.86,False,"Royalties for book on the Scottish Parliament, from Tottel Publishing, 9-10 St Andrew Square, Edinburgh, EH2 2AF:",£2.86 royalties. No additional hours worked. (Registered 7 September 2009)
1411,"Lazarowicz, Mark",Labour,2010-11,employment,2010-01-22,6.0,False,"Royalties for book on the Scottish Parliament, from Tottel Publishing, 9-10 St Andrew Square, Edinburgh, EH2 2AF:",£6.00 royalties.  No additional hours worked. (Registered 22 January 2010)
1411,"Lazarowicz, Mark",Labour,2010-11,employment,2010-07-25,124.54,False,Received £124.54 royalties from Bloomsbury Professional 9-10 St Andrews Square Edinburgh EH2 2AF.  No additional hours worked. (Registered 25 July 2010),
1411,"Lazarowicz, Mark",Labour,2010-11,employment,2009-09-28,35.0,True,"Received £50 for completing survey for ComRes, 4 Millbank, London, SW1P 3JA.  Hours: 20mins.  Fee donated directly to my local Party.  (Registered 7 September 2009)",
