id,list_name,party,session,type,date,value,donated_to_charity,description,sub_entry
549,"Llwyd, Elfyn",Plaid Cymru,2014-15,employment,2014-01-06,60.0,False,"11 December 2013, received £60 from BBC, Broadcasting Centre, Cardiff, CF5 2YQ for contributing to Dan yr Wyneb on 11 November 2013. Hours: 30 mins. 
(Registered 6 January 2014)",
549,"Llwyd, Elfyn",Plaid Cymru,2014-15,employment,2014-01-21,60.0,False,"14 January 2014, received £60 from BBC Payments, PO Box 480 Manchester M40 0EL 
for contributing to Dan yr Wyneb on 15 November 2013. Hours: 30 mins. 
(Registered 21 January 2014)",
549,"Llwyd, Elfyn",Plaid Cymru,2014-15,employment,2014-04-08,5000.0,False,"From 17 March 2014, member of the Advisory Panel of The Constables’ Central Committee of the Police Federation of England and Wales, Federation House, Highbury Ave, Leatherhead KT22 7UY. Expected remuneration of £5,000 per year, for attending bi-monthly meetings.  (Registered 8 April 2014)",
549,"Llwyd, Elfyn",Plaid Cymru,2014-15,oversees_visit,2014-09-09,801.6,False,Donor: Public Diplomacy Council of Catalonia,
549,"Llwyd, Elfyn",Plaid Cymru,2013-14,employment,2014-01-06,60.0,False,"10 September 2013, received £150 plus £27 travel expenses from BBC, Room B.07 Broadcasting House, 27–29 Whiteladies Road, Bristol BS8 2LR, for contributing to Any Questions on 6 September 2013.  Hours: 1 hr plus 2 hrs travel. (Registered 7 October 2013)",
549,"Llwyd, Elfyn",Plaid Cymru,2012-13,employment,2011-02-22,146.76,False,"Barrister-at-law. Legal Services Commission, Via GHP Legal Solicitors, 26-30 Grosvenor Road, Wrexham, LL11 1BU.",
549,"Llwyd, Elfyn",Plaid Cymru,2012-13,employment,2010-11-30,75.0,False,"ComRes, Four Millbank, London SW1P 3JA.","17 November 2010, £75 for completing questionnaire.  Hours: 45 mins. (Registered 30 November 2010)"
549,"Llwyd, Elfyn",Plaid Cymru,2012-13,employment,2011-01-18,75.0,False,"ComRes, Four Millbank, London SW1P 3JA.","10 January 2011, £75 for completing survey.  Hours: 30 mins. (Registered 18 January 2011)"
549,"Llwyd, Elfyn",Plaid Cymru,2012-13,employment,2010-11-30,177.0,False,"ComRes, Four Millbank, London SW1P 3JA.","22 October 2010, £177 received for taking part in PawbA’i Farn BBC Wales programme.  Hours: 90 mins. (Registered 30 November 2010)"
549,"Llwyd, Elfyn",Plaid Cymru,2012-13,employment,2012-01-26,225.0,False,"16 January 2012, received payment of £225 from Cwmni Da for taking part in a television programme. Address: Ffordd y Felin Heli, Pwllheli, Gwynedd, LL53. Hours: 45 mins. (Registered 26 January 2012)",
549,"Llwyd, Elfyn",Plaid Cymru,2012-13,oversees_visit,2012-04-18,1021.25,False,Donor: The Howard League for Penal Reform,
549,"Llwyd, Elfyn",Plaid Cymru,2011-12,employment,2011-02-22,146.76,False,,"Received £850 plus VAT of £146.76 for 7 and a half hours of advising and settling a personal injury claim for Messrs Richards Thomas, Solicitors, 14 The Strand, Ferndale, Rhondda. (Registered 22 February 2011)"
549,"Llwyd, Elfyn",Plaid Cymru,2011-12,employment,2010-11-30,75.0,False,,"17 November 2010, £75 for completing questionnaire.  Hours: 45 mins. (Registered 30 November 2010)"
549,"Llwyd, Elfyn",Plaid Cymru,2011-12,employment,2011-01-18,75.0,False,,"10 January 2011, £75 for completing survey.  Hours: 30 mins. (Registered 18 January 2011)"
549,"Llwyd, Elfyn",Plaid Cymru,2011-12,employment,2010-11-30,177.0,False,,"22 October 2010, £177 received for taking part in PawbA’i Farn BBC Wales programme.  Hours: 90 mins. (Registered 30 November 2010)"
549,"Llwyd, Elfyn",Plaid Cymru,2011-12,employment,2011-04-21,150.0,False,,"4 April 2011, £150 received for taking part in Pawb a’n Farn programme recorded on 17 March 2011.  Hours: 1 hr. (Registered 21 April 2011)"
549,"Llwyd, Elfyn",Plaid Cymru,2011-12,oversees_visit,2010-09-20,286.79,False,Donor: Howard League for Penal Reform,
549,"Llwyd, Elfyn",Plaid Cymru,2010-11,employment,2009-09-14,568.87,False,,Received £568.87 (inc. VAT) on 20 August 2009 for legal work in family court.  Hours: 4hrs.  (Registered 14 September 2009)
549,"Llwyd, Elfyn",Plaid Cymru,2010-11,employment,2010-07-27,88.35,False,,Received £88.35 on 12 July for legal work in family court.  Hours: 10 mins.  (Registered 27 July 2010)
549,"Llwyd, Elfyn",Plaid Cymru,2010-11,employment,2009-08-11,20.0,False,,Received £20 for interview. Hours: 10mins (Registered 11 August 2009)
549,"Llwyd, Elfyn",Plaid Cymru,2010-11,employment,2009-10-06,50.0,False,,Fee of £50 received for interview lasting 30 minutes on 18 September 2009. (Registered 6 October 2009)
549,"Llwyd, Elfyn",Plaid Cymru,2010-11,employment,2010-01-12,75.0,False,,"11 January 2010, paid £75 by ComRes for a completing survey panel. Hours: 20 mins. (Registered 12 January 2010)"
549,"Llwyd, Elfyn",Plaid Cymru,2010-11,employment,2010-07-07,75.0,False,,"11 January 2010, paid £75 by ComRes for a completing survey panel. Hours: 40 mins. (Registered 7 July 2010)"
549,"Llwyd, Elfyn",Plaid Cymru,2010-11,employment,2009-09-03,75.0,False,,£75 for completing an opinion panel questionnaire.  Hours: 30mins.  (Registered 3 September 2009)
549,"Llwyd, Elfyn",Plaid Cymru,2010-11,employment,2009-11-25,75.0,False,,£75 for completing survey. Hours: 30 mins. (Registered 25 November 2009)
549,"Llwyd, Elfyn",Plaid Cymru,2010-11,employment,2009-12-09,75.0,False,,£75 for completing survey. Hours: 40 mins. (Registered 9 December 2009)
549,"Llwyd, Elfyn",Plaid Cymru,2010-11,employment,2009-10-07,35.0,False,,"Payment of £300 plus £35 VAT received from Legal Services Commission on behalf of solicitors E. A. Harris and Co. Address: The Cross, Padeswood Road, Buckley, Flintshire, CH7 2JL. Hours: 4 hrs. (Registered 7 October 2009)"
549,"Llwyd, Elfyn",Plaid Cymru,2010-11,employment,2009-11-25,150.0,False,,"Received £150 for taking part in an S4C programme. Hours: 1 hr. Address: S4C, Clos Sophia, Cardiff. (Registered 25 November 2009)"
549,"Llwyd, Elfyn",Plaid Cymru,2010-11,employment,2010-03-15,50.0,False,,"Received £50 for taking part in a TV programme, ""Y Byd Ar Bedwar"". Address: The Media Centre, Culverhouse Cross, Cardiff CF5 6XJ. Hours: 1 hr. (Registered 15 March 2010)"
549,"Llwyd, Elfyn",Plaid Cymru,2010-11,employment,2011-01-01,20.0,False,,"Received £20 for interview, BBC Radio Cymru, BrynMeinan Bangor Gwynedd"
549,"Llwyd, Elfyn",Plaid Cymru,2010-11,employment,2010-06-02,3769.5,False,,"Payment of £3,769.50 received for work in the Family Court on 29-31 July 2010. Hours: 3 days. (Registered 2 June 2010)"
549,"Llwyd, Elfyn",Plaid Cymru,2010-11,employment,2010-08-02,2324.0,False,,"Payment of £2,324 received from Tudur Owen & Co for work in the Family Court. Hours:  2.5 days. (Registered 2 August 2010)"
