id,list_name,party,session,type,date,value,donated_to_charity,description,sub_entry
3927,"Macleod, Mary",Conservative,2014-15,employment,2014-05-19,2000.0,False,"Payments from Lewis Communications, Millbank Tower, London SW1P 4RS, for attending advisory meetings with board members:","24 April, 2014, received £2,000 for March/April 2014. Hours: approximately 8 hrs. (Registered 19 May 2014)"
3927,"Macleod, Mary",Conservative,2014-15,employment,2014-08-15,2000.0,False,"Payments from Lewis Communications, Millbank Tower, London SW1P 4RS, for attending advisory meetings with board members:","12 August 2014, received £2,000 for June 2014. Hours: approximately 8 hrs. (Registered 15 August 2014)"
3927,"Macleod, Mary",Conservative,2014-15,employment,2014-10-20,2000.0,False,"Payments from Lewis Communications, Millbank Tower, London SW1P 4RS, for attending advisory meetings with board members:","8 October 2014, received £2,000 for September 2014. Hours: approximately 8 hrs. (Registered 20 October 2014)"
3927,"Macleod, Mary",Conservative,2014-15,employment,2015-01-20,2000.0,False,"Payments from Lewis Communications, Millbank Tower, London SW1P 4RS, for attending advisory meetings with board members:","16 January 2015, received £2,000 for December 2014. Hours: approximately 8 hrs. (Registered 20 January 2015)"
3927,"Macleod, Mary",Conservative,2014-15,sponsorship,2014-02-14,2500.0,False,Donor: United and Cecil Club,
3927,"Macleod, Mary",Conservative,2014-15,sponsorship,2014-07-15,7500.0,False,Donor: T C Limited,
3927,"Macleod, Mary",Conservative,2014-15,oversees_visit,2014-02-14,1187.9,False,Donor: Save the Children International,
3927,"Macleod, Mary",Conservative,2013-14,sponsorship,2013-05-13,5000.0,False,"Donor: Heathrow Airport Holdings Limited

Address of donor: The Compass Centre, 
Nelson Road
, Hounslow, Middlesex TW6 2GW

Amount of donation or nature and value if donation in kind: £5,000; sponsorship to meet costs and expenses of local community project organised by the MP",
3927,"Macleod, Mary",Conservative,2013-14,sponsorship,2013-07-24,18148.65,False,Donor:  Microsoft Limited,
3927,"Macleod, Mary",Conservative,2013-14,sponsorship,2013-11-14,3500.0,False,Donor: Mrs Pavita Cooper,
3927,"Macleod, Mary",Conservative,2013-14,sponsorship,2013-12-19,5000.0,False,"Donor: Heathrow Airport Limited

Address of donor: The Compass Centre, Nelson Road, Hounslow, Middlesex TW6 2GW



Amount of donation or nature and value if donation in kind: £5,000; sponsorship for 2014 West London Jobs and Apprenticeships Fair",
3927,"Macleod, Mary",Conservative,2013-14,sponsorship,2013-12-19,2000.0,False,"Donor: Mr Henry Angest

Address of donor: private",
3927,"Macleod, Mary",Conservative,2013-14,oversees_visit,2013-12-19,918.75,False,Donor: Mr Baljinder Hansra,
3927,"Macleod, Mary",Conservative,2012-13,sponsorship,2012-07-26,5000.0,False,Donor: British Airports Authority,
3927,"Macleod, Mary",Conservative,2012-13,sponsorship,2012-07-26,12000.0,False,Donor: Foxtons Ltd,
3927,"Macleod, Mary",Conservative,2012-13,sponsorship,2012-07-26,3500.0,False,Donor: Aker solutions Engineering and Technology Ltd,
3927,"Macleod, Mary",Conservative,2012-13,sponsorship,2012-07-26,2000.0,False,Donor: SBHA (Shepherds Bush Housing Association) Ltd,
3927,"Macleod, Mary",Conservative,2012-13,sponsorship,2012-07-26,3500.0,False,Donor: EMC Computers Systems UK Ltd,
3927,"Macleod, Mary",Conservative,2012-13,sponsorship,2012-07-26,3500.0,False,Donor: Barratt Developments plc,
3927,"Macleod, Mary",Conservative,2012-13,sponsorship,2012-07-26,2000.0,False,Donor: Fuller Smith & Turner plc,
3927,"Macleod, Mary",Conservative,2012-13,sponsorship,2012-07-26,2000.0,False,Donor: Thames Water Ltd,
3927,"Macleod, Mary",Conservative,2012-13,sponsorship,2012-07-26,7000.0,False,Donor: BSkyB Telecommunications Services Ltd,
3927,"Macleod, Mary",Conservative,2012-13,sponsorship,2012-07-26,2000.0,False,Donor: Worley Parsons UK Ltd,
3927,"Macleod, Mary",Conservative,2012-13,sponsorship,2012-08-21,1750.0,False,Donor: British Airways Plc,
3927,"Macleod, Mary",Conservative,2012-13,sponsorship,2012-12-24,2500.0,False,Donor: Barclays Bank PLC,
3927,"Macleod, Mary",Conservative,2012-13,sponsorship,2012-12-24,5000.0,False,Donor: LHR Airports Ltd,
3927,"Macleod, Mary",Conservative,2012-13,sponsorship,2013-01-17,2000.0,False,Donor: Mr Michael Farmer,
3927,"Macleod, Mary",Conservative,2011-12,sponsorship,2011-02-24,5000.0,False,Donor: Mr Stephen Brenninkmeijer,
3927,"Macleod, Mary",Conservative,2011-12,sponsorship,2011-04-05,5000.0,False,Donor: Mr Maurice Bennett,
3927,"Macleod, Mary",Conservative,2011-12,sponsorship,2011-11-24,5000.0,False,Donor: Mr Maurice Bennett,
3927,"Macleod, Mary",Conservative,2011-12,oversees_visit,2010-11-01,4623.0,False,Donor: Great Britain China Centre,
3927,"Macleod, Mary",Conservative,2010-11,client,2010-06-07,20375.0,False,Of MacLeod Consulting Group Ltd:,"Payment of £20,375 from Royal Bank of Scotland, 199 Bishopsgate, London, for business and communications consultancy advice.  Hours: 26 hrs. (Registered 7 June 2010)"
