id,list_name,party,session,type,date,value,donated_to_charity,description,sub_entry
1466,"Murrison, Andrew",Conservative,2012-13,employment,2012-02-27,1461.87,False,"Surgeon Commander Royal Naval Reserve, HMS President, St Katherine’s Dock, London:","Received on 1 February 2012,  £1,461.87 for 12 days work. (Registered 27 February 2012)"
1466,"Murrison, Andrew",Conservative,2012-13,employment,2012-04-02,575.0,False,"ComRes, 4 Millbank, London, SW1P 3JA:","2 April 2012, received £575 for completion of 8 surveys taking 30 minutes each. (Registered 2 April 2012)"
1466,"Murrison, Andrew",Conservative,2012-13,employment,2012-01-31,150.0,False,"Ipsos MORI, 79-81 Borough Road, London SE1 1FY.",Fee of £150 for opinion survey on 31 January 2012.  Hours: 1 hr. (Registered 31 January 2012)
1466,"Murrison, Andrew",Conservative,2012-13,employment,2012-02-27,175.0,False,"Health Management Ltd, Ash House The Broyle Ringmer East Sussex BN8 5NN meet the cost of my medical indemnity insurance in return for  weekly clinical sessions. Ended April 2012 (Registered 13 July 2010; updated 20 June 2012):","Received on 10 February 2012, £175  to cover the cost of attending a one day Faculty of Occupational Medicine course for continuing professional development. 
(Registered 27 February 2012)"
1466,"Murrison, Andrew",Conservative,2011-12,employment,2010-12-05,1717.35,False,Surgeon Commander Royal Naval Reserve.,"Received £1,717.35 on 1 November 2010 for 12 days work. (Registered 5 December 2010)"
1466,"Murrison, Andrew",Conservative,2011-12,employment,2011-01-23,75.0,False,"ComRes, 4 Millbank, London, SW1P 3JA.","13 January 2011, received fee of £75 for completion of survey.  Hours: 20 mins. (Registered 23 January 2011)"
1466,"Murrison, Andrew",Conservative,2011-12,employment,2011-06-09,75.0,False,"ComRes, 4 Millbank, London, SW1P 3JA.","6 June 2011, received fee of £75 for completion of survey. Hours: 20 minutes (Registered 9 June 2011)"
1466,"Murrison, Andrew",Conservative,2011-12,employment,2011-06-09,450.0,False,"ComRes, 4 Millbank, London, SW1P 3JA.","6 June 2011, received fee of £450 for completion of four surveys. Hours: 2 (total).  (Registered 9 June 2011)"
1466,"Murrison, Andrew",Conservative,2011-12,employment,2011-08-26,75.0,False,"ComRes, 4 Millbank, London, SW1P 3JA.","15 August 2011, received fee of £75 for completion of survey. Hours: 30 mins. (Registered 26 August 2011)"
1466,"Murrison, Andrew",Conservative,2011-12,employment,2011-11-21,50.0,False,"ComRes, 4 Millbank, London, SW1P 3JA.","3 November 2011, received fee of £50 for completion of survey. Hours: 20 mins. (Registered 21 November 2011)"
1466,"Murrison, Andrew",Conservative,2011-12,employment,2011-06-09,80.0,False,"Fees for completing survey for YouGov, 50 Featherstone Street, London EC1Y 8RT",
1466,"Murrison, Andrew",Conservative,2011-12,employment,2011-10-03,150.0,False,Fees for completing surveys for Opinion Leader 4th Floor Holborn Gate 26 Southampton Buildings London WC1A 1AH.,
1466,"Murrison, Andrew",Conservative,2011-12,employment,2010-10-25,1921.0,False,"Health Management Ltd, Ash House The Broyle Ringmer East Sussex BN8 5NN meet the cost of my medical indemnity insurance in return for  weekly clinical sessions. (Registered 13 July 2010):","Received on 22 October 2010 for clinics performed for the purpose of maintaining clinical currency, annual professional indemnity subscription and professional body membership costs totalling £1,921. (Registered 25 October 2010)"
1466,"Murrison, Andrew",Conservative,2011-12,employment,2011-09-13,2028.0,False,"Health Management Ltd, Ash House The Broyle Ringmer East Sussex BN8 5NN meet the cost of my medical indemnity insurance in return for  weekly clinical sessions. (Registered 13 July 2010):","Received on 8 July 2011, £2,028 for medical indemnity cover. (Registered  13 September 2011)"
1466,"Murrison, Andrew",Conservative,2011-12,employment,2011-10-03,77.0,False,"Health Management Ltd, Ash House The Broyle Ringmer East Sussex BN8 5NN meet the cost of my medical indemnity insurance in return for  weekly clinical sessions. (Registered 13 July 2010):","Received on 30 September 2011, £77 to cover professional body annual subscription. (Registered 3 October 2011)"
1466,"Murrison, Andrew",Conservative,2010-11,employment,2009-10-05,592.38,False,Surgeon Commander Royal Naval Reserve.,Received £592.38 for September. Hours: 16 hrs. (Registered 5 October 2009)
1466,"Murrison, Andrew",Conservative,2010-11,employment,2009-10-25,888.54,False,Surgeon Commander Royal Naval Reserve.,Received £888.54 for September. Hours: 24 hrs. (Registered 25 October 2009)
1466,"Murrison, Andrew",Conservative,2010-11,employment,2010-06-09,22282.0,False,Surgeon Commander Royal Naval Reserve.,"Received £2,2282 for 76 hours annual training commitment (Registered 9 June 2010)"
1466,"Murrison, Andrew",Conservative,2010-11,employment,2009-09-02,75.0,True,Surgeon Commander Royal Naval Reserve.,Received fee of £75 for completing a survey Hours: 30mins.  Fee donated to my local Party. (Registered 2 September 2009)
1466,"Murrison, Andrew",Conservative,2010-11,employment,2010-02-15,75.0,False,Surgeon Commander Royal Naval Reserve.,Received fee of £75 for completion of a survey. Hours: 30 mins. (Registered 15 February 2010)
