id,list_name,party,session,type,date,value,donated_to_charity,description,sub_entry
3939,"Percy, Andrew",Conservative,2014-15,employment,2014-02-26,75.0,False,"Payments from ComRes, Four Millbank, London SW1P 3JA, for opinion surveys:",Payment of £75 for survey completed on 18 February 2014.  Hours: 30 mins. (Registered 26 February 2014)
3939,"Percy, Andrew",Conservative,2014-15,employment,2014-03-04,75.0,False,"Payments from ComRes, Four Millbank, London SW1P 3JA, for opinion surveys:",Payment of £75 for survey completed on 3 March 2014.  Hours: 30 mins. (Registered 4 March 2014)
3939,"Percy, Andrew",Conservative,2014-15,employment,2014-05-06,75.0,False,"Payments from ComRes, Four Millbank, London SW1P 3JA, for opinion surveys:",Payment of £75 for survey completed on 27 April 2014.  Hours: 30 mins. (Registered 6 May 2014)
3939,"Percy, Andrew",Conservative,2014-15,employment,2014-06-06,75.0,False,"Payments from ComRes, Four Millbank, London SW1P 3JA, for opinion surveys:",Payment of £75 for survey completed on 2 June 2014.  Hours: 30 mins. (Registered 6 June 2014)
3939,"Percy, Andrew",Conservative,2014-15,employment,2014-12-02,75.0,False,"Payments from ComRes, Four Millbank, London SW1P 3JA, for opinion surveys:",Payment of £75 for survey completed on 3 November 2014.  Hours: 30 mins. (Registered 2 December 2014)
3939,"Percy, Andrew",Conservative,2014-15,employment,2014-06-09,80.0,False,"Payments from YouGov, 50 Featherstone Street, London, EC1Y 8RT, for opinion surveys:",£80 received for online survey on 8 May 2014.  Hours: 30 mins.   (Registered 9 June 2014)
3939,"Percy, Andrew",Conservative,2014-15,employment,2014-02-11,500.0,True,"Payment of £500 from Tablets for Schools, 1 Portal Way, London W3 6RS, for speaking at their conference on 9 December 2013. Hours: 6 hrs. Payment donated to various charities. (Registered 11 February 2014)",
3939,"Percy, Andrew",Conservative,2014-15,employment,2014-02-27,150.0,False,"Payment of £150 from Net Balance, 175-185 Gray's Inn Road, London WC1X 8UE, for telephone interview on 27 February 2014. Hours: 30 mins. (Registered 27 February 2014)",
3939,"Percy, Andrew",Conservative,2014-15,employment,2014-08-11,100.0,True,"Payment of £100 from Leftfield, 181 Union Street, London SE1 0LN, for completing an interview on 24 July 2014. Hours: 30 mins. Payment donated to charity. (Registered 11 August 2014)",
3939,"Percy, Andrew",Conservative,2014-15,employment,2014-09-23,200.0,False,"September 2014, payment of £200 received from Ipsos Mori, 78-81 Borough Rd London SE1 1FY for an interview on 3 July 2014. Hours: 1 hr. 
(Registered 23 September 2014)",
3939,"Percy, Andrew",Conservative,2014-15,employment,2014-09-25,150.0,False,"Payment of £150 from CTF Partners, Sixth Floor, 7 Old Park Lane, London W1K 1QR, for an interview on 8 September 2014. Hours: 45 mins. Payment made to a community fund. (Registered 25 September 2014)",
3939,"Percy, Andrew",Conservative,2014-15,sponsorship,2014-03-07,5640.0,False,Donor: Crohns and Colitis UK,
3939,"Percy, Andrew",Conservative,2014-15,oversees_visit,2014-05-01,1250.0,False,Donor: Conservative Friends of Israel,
3939,"Percy, Andrew",Conservative,2014-15,oversees_visit,2014-12-03,2000.0,False,Donor: Ubertas Group,
3939,"Percy, Andrew",Conservative,2013-14,employment,2013-01-23,75.0,False,"Payments from ComRes, Four Millbank, London SW1P 3JA, for opinion surveys:","23 January 2013, £75.  Hours: 30 mins.  (Registered 23 January 2013)"
3939,"Percy, Andrew",Conservative,2013-14,employment,2013-09-12,75.0,True,"Payments from ComRes, Four Millbank, London SW1P 3JA, for opinion surveys:","June 2013, £75.  Hours: 30 mins.  Payment donated to charity. (Registered 12 September 2013)"
3939,"Percy, Andrew",Conservative,2013-14,employment,2013-11-18,75.0,True,"Payments from ComRes, Four Millbank, London SW1P 3JA, for opinion surveys:",Payment of £75 for survey completed on 30 October 2013.  Hours: 30 mins. Payment donated to charity. (Registered 18 November 2013)
3939,"Percy, Andrew",Conservative,2013-14,employment,2013-11-22,75.0,False,"Payments from ComRes, Four Millbank, London SW1P 3JA, for opinion surveys:",Payment of £75 for survey completed on 22 November 2013.  Hours: 30 mins. (Registered 22 November 2013)
3939,"Percy, Andrew",Conservative,2013-14,employment,2013-06-14,75.0,True,"Payment from Ipsos MORI, 79-81 Borough Road, London SE1 1FY, for interview:","14 May 2013, 
Yorkshire
 Water Telephone Survey, £75. Hours: 30 mins. Payment donated to local organisation. 
(Registered 14 June 2013)"
3939,"Percy, Andrew",Conservative,2013-14,employment,2013-09-12,75.0,True,"Payments from YouGov, 50 Featherstone Street
, 
London
, 
EC1Y 8RT
, for opinion surveys:","July 2013, £75.  Hours: 30 mins.  Payment donated to charity. (Registered 12 September 2013)"
3939,"Percy, Andrew",Conservative,2013-14,employment,2013-09-12,200.0,True,"Payments from YouGov, 50 Featherstone Street
, 
London
, 
EC1Y 8RT
, for opinion surveys:","3 July 2013, £200 for interview.  Hours: 70 mins.  Payment donated to charity. (Registered 12 September 2013)"
3939,"Percy, Andrew",Conservative,2013-14,employment,2013-09-16,70.0,True,"Payment of £70 from RSM, Unit 7, Baden Place, Crosby Road, London SE11 1YW, for phone interview.  Hours: 30 mins.  Payment donated to charity. (Registered 16 September 2013)",
3939,"Percy, Andrew",Conservative,2013-14,oversees_visit,2013-05-21,2300.0,False,Donor: Conservative Friends of Israel,
3939,"Percy, Andrew",Conservative,2012-13,employment,2012-01-13,75.0,True,"Payments from ComRes, Four Millbank, London SW1P 3JA, for opinion surveys:","December 2011, £75.  Hours: 30 mins. Payment donated to a constituent raising money for a charity. (Registered 13 January 2012)"
3939,"Percy, Andrew",Conservative,2012-13,employment,2012-07-24,75.0,True,"Payments from ComRes, Four Millbank, London SW1P 3JA, for opinion surveys:","3 July 2012, £75.  Hours: 30 mins.  Payment donated to charity via a constituent’s sponsored walk. (Registered 24 July 2012)"
3939,"Percy, Andrew",Conservative,2012-13,employment,2012-12-06,75.0,True,"Payments from ComRes, Four Millbank, London SW1P 3JA, for opinion surveys:","5 December 2012, £75.  Hours: 30 mins.  Payment donated to charity. (registered 6 December 2012)"
3939,"Percy, Andrew",Conservative,2012-13,employment,2012-07-24,100.0,False,"Payment from Dods, 21 Dartmouth Street, London SW1H 9BP, for opinion survey:","4 July 2012, £100.  Hours: 30 mins.  Payment to Brigg & Goole Conservative Association. (Registered 24 July 2012)"
3939,"Percy, Andrew",Conservative,2012-13,employment,2012-07-24,150.0,False,"Payment from Ipsos MORI, 79-81 Borough Road, London SE1 1FY, for interview:","11 July 2012, £150.  Hours: 1 hr.  (Registered 24 July 2012)"
3939,"Percy, Andrew",Conservative,2012-13,employment,2012-11-29,150.0,True,"Payment from Ipsos MORI, 79-81 Borough Road, London SE1 1FY, for interview:","27 November 2012, £150.  Hours: 1 hr.  Payment donated to charity. (Registered 29 November 2012)"
3939,"Percy, Andrew",Conservative,2012-13,oversees_visit,2012-01-30,1416.0,False,Donor: Australia Israel Cultural Exchange,
3939,"Percy, Andrew",Conservative,2012-13,oversees_visit,2012-06-21,200.0,False,"Donor: Ministry of External Affairs, Republic of China (Taiwan)",
3939,"Percy, Andrew",Conservative,2011-12,employment,2011-04-12,75.0,True,"Payments from ComRes, Four Millbank, London SW1P 3JA, for opinion surveys:","November 2010, £75.  Hours: 30 mins.  Payment donated to a local organisation. (Registered 12 April 2011)"
