id,list_name,party,session,type,date,value,donated_to_charity,description,sub_entry
4055,"Spencer, Mark",Conservative,2014-15,employment,2015-01-01,10000.0,False,"Partner in CH Spencer and Son (farmers). Address: Spring Lane Farm, Mapperley Plains, Notts. I receive benefit in kind from the farm of £5-10,000 per annum in the form of payment of telephone, heating and council tax of my family home.",
4055,"Spencer, Mark",Conservative,2014-15,gift,2014-01-07,850.0,False,Donor: British Association for Shooting and Conservation (BASC),
4055,"Spencer, Mark",Conservative,2013-14,employment,2014-01-01,10000.0,False,"Partner in CH Spencer and Son (farmers). Address: Spring Lane Farm, Mapperley Plains, Notts. I receive benefit in kind from the farm of £5-10,000 per annum in the form of payment of telephone, heating and council tax of my family home.",
4055,"Spencer, Mark",Conservative,2013-14,gift,2014-01-07,850.0,False,Donor: British Association for Shooting and Conservation (BASC),
4055,"Spencer, Mark",Conservative,2012-13,employment,2013-01-01,10000.0,False,"Partner in CH Spencer and Son (farmers). Address: Spring Lane Farm, Mapperley Plains, Notts. I receive benefit in kind from the farm of £5-10,000 per annum in the form of payment of telephone, heating and council tax of my family home.",
4055,"Spencer, Mark",Conservative,2011-12,employment,2010-09-13,4491.07,False,"Partner in CH Spencer and Son (farmers). Address: Spring Lane Farm, Mapperley Plains, Notts. I receive benefit in kind from the farm of £5-10,000 per annum in the form of payment of telephone, heating and council tax of my family home.","Received £4,491.07 for July and August 2010. Hours: 40 hrs. (Registered 13 September 2010)"
4055,"Spencer, Mark",Conservative,2011-12,employment,2010-09-13,614.28,False,"Partner in CH Spencer and Son (farmers). Address: Spring Lane Farm, Mapperley Plains, Notts. I receive benefit in kind from the farm of £5-10,000 per annum in the form of payment of telephone, heating and council tax of my family home.",Received £614.28 gross for August 2010. Hours: 10 hrs. (Registered 13 September 2010)
4055,"Spencer, Mark",Conservative,2011-12,gift,2011-05-03,1500.0,False,Donor: Richard Tuxford,
4055,"Spencer, Mark",Conservative,2011-12,gift,2011-05-26,1132.8,False,Donor: JTI – Japan Tobacco International,
4055,"Spencer, Mark",Conservative,2010-11,employment,2010-07-26,2269.0,False,"Partner in CH Spencer and Son (farmers). Address: Spring Lane Farm, Mapperley Plains, Notts. I receive benefit in kind from the farm of £5-10,000 per annum in the form of payment of telephone, heating and council tax of my family home.","Received £2,269 gross for May and June 2010. Hours: 40 hrs. (Registered 26 July 2010)"
4055,"Spencer, Mark",Conservative,2010-11,employment,2010-07-26,921.42,False,"Partner in CH Spencer and Son (farmers). Address: Spring Lane Farm, Mapperley Plains, Notts. I receive benefit in kind from the farm of £5-10,000 per annum in the form of payment of telephone, heating and council tax of my family home.","Received £921.42 gross for May, June and July 2010. Hours: 30 hrs. (Registered 26 July 2010)"
