id,list_name,party,session,type,date,value,donated_to_charity,description,sub_entry
91,"Stanley, John",Conservative,2014-15,employment,2014-01-27,1800.0,False,"Consultant on financial services to FIL Investment Management Ltd (formerly known as Fidelity Investment Management Ltd), Oakhill House, Hildenborough, Kent TN11 9DZ.","£1,800 received for attending meetings as necessary and advising on business opportunities and risks. Hours: 6 hrs. (Registered 27 January 2014)"
91,"Stanley, John",Conservative,2014-15,employment,2014-02-20,1800.0,False,"Consultant on financial services to FIL Investment Management Ltd (formerly known as Fidelity Investment Management Ltd), Oakhill House, Hildenborough, Kent TN11 9DZ.","£1,800 received for attending meetings as necessary and advising on business opportunities and risks. Hours: 5 hrs. (Registered 20 February 2014)"
91,"Stanley, John",Conservative,2014-15,employment,2014-03-18,1800.0,False,"Consultant on financial services to FIL Investment Management Ltd (formerly known as Fidelity Investment Management Ltd), Oakhill House, Hildenborough, Kent TN11 9DZ.","£1,800 received for attending meetings as necessary and advising on business opportunities and risks. Hours: 6 hrs. (Registered 18 March 2014)"
91,"Stanley, John",Conservative,2014-15,employment,2014-04-29,1800.0,False,"Consultant on financial services to FIL Investment Management Ltd (formerly known as Fidelity Investment Management Ltd), Oakhill House, Hildenborough, Kent TN11 9DZ.","£1,800 received for attending meetings as necessary and advising on business opportunities and risks. Hours: 7 hrs. (Registered 29 April 2014)"
91,"Stanley, John",Conservative,2014-15,employment,2014-05-16,1800.0,False,"Consultant on financial services to FIL Investment Management Ltd (formerly known as Fidelity Investment Management Ltd), Oakhill House, Hildenborough, Kent TN11 9DZ.","£1,800 received for attending meetings as necessary and advising on business opportunities and risks. Hours: 6 hrs. (Registered 16 May 2014)"
91,"Stanley, John",Conservative,2014-15,employment,2014-06-23,1800.0,False,"Consultant on financial services to FIL Investment Management Ltd (formerly known as Fidelity Investment Management Ltd), Oakhill House, Hildenborough, Kent TN11 9DZ.","£1,800 received for attending meetings as necessary and advising on business opportunities and risks. Hours: 7 hrs. (Registered 23 June 2014)"
91,"Stanley, John",Conservative,2014-15,employment,2014-07-15,1800.0,False,"Consultant on financial services to FIL Investment Management Ltd (formerly known as Fidelity Investment Management Ltd), Oakhill House, Hildenborough, Kent TN11 9DZ.","£1,800 received for attending meetings as necessary and advising on business opportunities and risks. Hours: 7 hrs. (Registered 15 July 2014)"
91,"Stanley, John",Conservative,2014-15,employment,2014-08-21,1800.0,False,"Consultant on financial services to FIL Investment Management Ltd (formerly known as Fidelity Investment Management Ltd), Oakhill House, Hildenborough, Kent TN11 9DZ.","£1,800 received for attending meetings as necessary and advising on business opportunities and risks. Hours: 5 hrs. (Registered 21 August 2014)"
91,"Stanley, John",Conservative,2014-15,employment,2014-09-30,1800.0,False,"Consultant on financial services to FIL Investment Management Ltd (formerly known as Fidelity Investment Management Ltd), Oakhill House, Hildenborough, Kent TN11 9DZ.","£1,800 received for attending meetings as necessary and advising on business opportunities and risks. Hours: 6 hrs. (Registered 30 September 2014)"
91,"Stanley, John",Conservative,2014-15,employment,2014-10-22,1800.0,False,"Consultant on financial services to FIL Investment Management Ltd (formerly known as Fidelity Investment Management Ltd), Oakhill House, Hildenborough, Kent TN11 9DZ.","£1,800 received for attending meetings as necessary and advising on business opportunities and risks. Hours: 7 hrs. (Registered 22 October 2014)"
