id,list_name,party,session,type,date,value,donated_to_charity,description,sub_entry
3940,"Whittaker, Craig",Conservative,2014-15,sponsorship,2015-01-13,5000.0,False,Donor: Offshore Group Newcastle Ltd,
3940,"Whittaker, Craig",Conservative,2014-15,sponsorship,2015-01-13,2000.0,False,Donor: Carpet & Flooring Megastore,
3940,"Whittaker, Craig",Conservative,2013-14,oversees_visit,2013-09-02,2356.71,False,Donor: European Parliamentary Forum on Population and Development,
3940,"Whittaker, Craig",Conservative,2012-13,oversees_visit,2012-06-13,3800.0,False,Donor: The European Azerbaijan Society (TEAS),
3940,"Whittaker, Craig",Conservative,2011-12,employment,2010-09-20,518.82,False,,Received £518.82 for 40 hours work in August/September 2010 (Registered 20 September 2010)
3940,"Whittaker, Craig",Conservative,2011-12,employment,2010-10-18,518.82,False,,Received £518.82 for 40 hours work in September/October 2010 (Registered 18 October 2010)
3940,"Whittaker, Craig",Conservative,2011-12,employment,2010-11-15,518.82,False,,Received £518.82 for 40 hours work in October/November 2010. (Registered 15 November 2010)
3940,"Whittaker, Craig",Conservative,2011-12,employment,2010-12-16,518.82,False,,Received £518.82 for 40 hours work in November/December 2010. (Registered 16 December 2010)
3940,"Whittaker, Craig",Conservative,2011-12,employment,2012-01-01,518.82,False,,Received £518.82 for 40 hours work in December 2010/January 2011.  (Registered 17January 2011)
3940,"Whittaker, Craig",Conservative,2011-12,employment,2011-03-02,518.82,False,,Received £518.82 for 40 hours work in January/February 2011.  (Registered 2 March 2011)
3940,"Whittaker, Craig",Conservative,2011-12,employment,2011-03-15,518.82,False,,Received £518.82 for 40 hours work in February/March 2011. (Registered 15 March 2011)
3940,"Whittaker, Craig",Conservative,2011-12,employment,2011-04-22,518.82,False,,Received £518.82 for 40 hours work in March/April 2011. (Registered 22 April 2011)
3940,"Whittaker, Craig",Conservative,2011-12,employment,2011-05-18,170.77,False,,Received £170.77 for 20 hours work in April/May 2011. (Registered 18 May 2011)
3940,"Whittaker, Craig",Conservative,2011-12,employment,2010-11-15,150.0,True,"Payment of £150 from Ipsos MORI, 79-81 Borough Road, London SE1 1FY, for a survey.  Hours: 1.5 hrs.  Payment donated to charity. (Registered 15 November 2010)",
3940,"Whittaker, Craig",Conservative,2011-12,employment,2011-08-11,150.0,True,"Payment of £150 from Ipsos MORI, 79-81 Borough Road, London SE1 1FY, for a survey on 27 July 2011. Hours: 1 hr. Payment donated to charity. (Registered 11 August 2011)",
3940,"Whittaker, Craig",Conservative,2011-12,employment,2011-01-24,75.0,True,"Payment of £75 from ComRes, Four Millbank, London SW1P 3JA, for a survey.  Hours: 30 mins.  Payment donated to charity. (Registered 24 January 2011)",
3940,"Whittaker, Craig",Conservative,2011-12,employment,2011-08-22,75.0,True,"Payment of £75 from ComRes, Four Millbank, London SW1P 3JA, for a survey.  Hours: 30 mins.  Payment donated to charity. (Registered 22 August 2011)",
3940,"Whittaker, Craig",Conservative,2011-12,employment,2011-02-07,80.0,True,"Payment of £80 from YouGov, 50 Featherstone Street, London EC1Y 8RT, for taking part in a survey.  Hours: 30 mins.  Payment donated to charity. (Registered 7 February 2011)",
3940,"Whittaker, Craig",Conservative,2011-12,gift,2010-06-04,4000.0,False,Donor: Grand Central Railway Company Ltd,
3940,"Whittaker, Craig",Conservative,2011-12,oversees_visit,2010-09-20,1690.02,False,Donor: All-Party Parliamentary Group on Agriculture and Food for Development,
3940,"Whittaker, Craig",Conservative,2010-11,employment,2010-08-31,518.82,False,Received £818.55 for 40 hours work in June/July 2010 (Registered 5 August 2010),Received £518.82 for 32 hours work in July/August 2010 (Registered 31 August 2010)
3940,"Whittaker, Craig",Conservative,2010-11,gift,2010-06-04,4000.0,False,Donor: Grand Central Railway Company Ltd,
